title,box_office,genres_IMDB,release_year,averageRating,numVotes,GPE_entities,GPE_US_frequencies,Percentage_american_culture
The Boat That Rocked,36348784.0,,2009.0,,,"['the United Kingdom', 'London', 'Britain']",Counter({'London': 1}),0.3333333333333333
Heathcliff: The Movie,2610686.0,,1986.0,,,[],Counter(),0.0
Fathom,1000000.0,"Adventure,Comedy",1967.0,5.7,1843.0,['U.S.'],Counter(),0.0
Caboblanco,,"Action,Adventure,Crime",1980.0,5.3,1406.0,"['Cabo Blanco', 'Peru']",Counter({'Peru': 1}),0.5
Right to Die,,,2007.0,,,[],Counter(),0.0
Kaboom,539957.0,,2010.0,,,['London'],Counter({'London': 1}),1.0
Kingdom of Heaven,211652051.0,,2005.0,,,"['France', 'Ibelin', 'Jerusalem', 'Jerusalem', 'Messina', 'Jerusalem', 'Jerusalem', 'Jerusalem', 'Jerusalem', 'Jerusalem', 'Kingdom', 'Châtillon', 'Kerak', 'Kerak', 'Jerusalem', 'Jerusalem', 'Jerusalem', 'Damascus', 'Jerusalem', 'Jerusalem', 'Cyprus', 'Jerusalem', 'Jerusalem', 'Jerusalem', 'France', 'Jerusalem', 'England', 'Jerusalem']","Counter({'Jerusalem': 17, 'Damascus': 1, 'England': 1})",0.6785714285714286
Rockers,,"Comedy,Drama,Music",1978.0,7.5,2235.0,['Kingston'],Counter({'Kingston': 1}),1.0
Cleopatra,,,1999.0,,,"['Alexandria', 'Egypt', 'Egypt', 'Egypt', 'Alexandria', 'Alexandria', 'Rome', 'Rome', 'Rome', 'Rome', 'Egypt', 'Rome', 'Egypt', 'Rome', 'Egypt', 'Egypt', 'Alexandria', 'Antioch', 'Egypt', 'Rome', 'Egypt', 'Rome', 'Egypt', 'India', 'Egypt']","Counter({'Egypt': 11, 'Rome': 8, 'Alexandria': 4, 'Antioch': 1})",0.96
Haunted,,,1995.0,,,"['Edbrook', 'Edbrook']",Counter(),0.0
Lady and the Tramp II: Scamp's Adventure,,,2001.0,,,[],Counter(),0.0
King of New York,2554476.0,,1990.0,,,['New York'],Counter({'New York': 1}),1.0
Ilsa: She-Wolf of the SS,,,1975.0,,,[],Counter(),0.0
He's Just Not That Into You,178846899.0,"Comedy,Drama,Romance",2009.0,6.4,185029.0,['Baltimore'],Counter({'Baltimore': 1}),1.0
Shottas,,"Action,Crime,Drama",2002.0,6.1,4896.0,"['Kingston', 'the United States', 'Miami', 'Jamaica', 'Miami', 'Miami', 'Miami']","Counter({'Miami': 4, 'Kingston': 1, 'Jamaica': 1})",0.8571428571428571
"What's Up, Tiger Lily?",,"Adventure,Comedy,Crime",1966.0,5.8,10086.0,['Raspur'],Counter(),0.0
Quest for Fire,,,1982.0,,,['Ulam'],Counter(),0.0
Tiger Claws,,Action,1992.0,5.4,1337.0,[],Counter(),0.0
"So, What's your price?",,,2007.0,,,"['the United States', 'Mexico']",Counter({'Mexico': 1}),0.5
The Tale Of The Bunny Picnic,,,1986.0,,,[],Counter(),0.0
Street Fighter,99423521.0,"Action,Adventure,Comedy",1994.0,4.1,76612.0,"['Shadaloo', 'Shadaloo City']",Counter(),0.0
Go for It,,,1983.0,,,"['Miami', 'Miami Beach']","Counter({'Miami': 1, 'Miami Beach': 1})",1.0
Dostana,,"Comedy,Drama,Romance",2008.0,6.4,16464.0,['U.S.'],Counter(),0.0
Fierce People,269755.0,,2005.0,,,['New York'],Counter({'New York': 1}),1.0
New In Town,29010817.0,,2009.0,,,"['Miami', 'New Ulm', 'Minnesota']","Counter({'Miami': 1, 'New Ulm': 1, 'Minnesota': 1})",1.0
The Hairy Bird,,,1998.0,,,[],Counter(),0.0
Parents,870532.0,"Comedy,Horror,Mystery",1989.0,6.1,8833.0,"['Massachusetts', 'Toxico']",Counter({'Massachusetts': 1}),0.5
