persona,dictionary,character_name,title,freebase_map_ID,actor_name
absent_minded_professor,"{'char': 'Professor Philip Brainard', 'movie': 'Flubber', 'id': '/m/0jy9q0', 'actor': 'Robin Williams'}",Professor Philip Brainard,Flubber,/m/0jy9q0,Robin Williams
absent_minded_professor,"{'char': 'Professor Keenbean', 'movie': 'Richie Rich', 'id': '/m/02vchl3', 'actor': 'Michael McShane'}",Professor Keenbean,Richie Rich,/m/02vchl3,Michael McShane
absent_minded_professor,"{'char': 'Dr. Reinhardt Lane', 'movie': 'The Shadow', 'id': '/m/0k6fkc', 'actor': 'Ian McKellen'}",Dr. Reinhardt Lane,The Shadow,/m/0k6fkc,Ian McKellen
absent_minded_professor,"{'char': 'Dr. Harold Medford', 'movie': 'Them!', 'id': '/m/0k6_br', 'actor': 'Edmund Gwenn'}",Dr. Harold Medford,Them!,/m/0k6_br,Edmund Gwenn
absent_minded_professor,"{'char': 'Daniel Jackson', 'movie': 'Stargate', 'id': '/m/0k3rhh', 'actor': 'James Spader'}",Daniel Jackson,Stargate,/m/0k3rhh,James Spader
adventurer_archaeologist,"{'char': 'Indiana Jones', 'movie': 'Indiana Jones and the Kingdom of the Crystal Skull', 'id': '/m/0jzx78', 'actor': 'Harrison Ford'}",Indiana Jones,Indiana Jones and the Kingdom of the Crystal Skull,/m/0jzx78,Harrison Ford
adventurer_archaeologist,"{'char': 'Indiana Jones', 'movie': 'Indiana Jones and the Raiders of the Lost Ark', 'id': '/m/0k294p', 'actor': 'Harrison Ford'}",Indiana Jones,Indiana Jones and the Raiders of the Lost Ark,/m/0k294p,Harrison Ford
adventurer_archaeologist,"{'char': 'Indiana Jones', 'movie': 'Indiana Jones and the Temple of Doom', 'id': '/m/0jzx9b', 'actor': 'Harrison Ford'}",Indiana Jones,Indiana Jones and the Temple of Doom,/m/0jzx9b,Harrison Ford
adventurer_archaeologist,"{'char': ""Evelyn Carnahan-O'Connell"", 'movie': 'The Mummy', 'id': '/m/0k5yzc', 'actor': 'Rachel Weisz'}",Evelyn Carnahan-O'Connell,The Mummy,/m/0k5yzc,Rachel Weisz
arrogant_kungfu_guy,"{'char': 'Han', 'movie': 'Enter the Dragon', 'id': '/m/02vd8hn', 'actor': 'Shih Kien'}",Han,Enter the Dragon,/m/02vd8hn,Shih Kien
arrogant_kungfu_guy,"{'char': 'Johnny Lawrence', 'movie': 'The Karate Kid', 'id': '/m/0k5jyf', 'actor': 'William Zabka'}",Johnny Lawrence,The Karate Kid,/m/0k5jyf,William Zabka
arrogant_kungfu_guy,"{'char': 'Jen Yu', 'movie': 'Crouching Tiger, Hidden Dragon', 'id': '/m/0jwv09', 'actor': 'Zhang Ziyi'}",Jen Yu,"Crouching Tiger, Hidden Dragon",/m/0jwv09,Zhang Ziyi
arrogant_kungfu_guy,"{'char': 'Pai Mei', 'movie': 'Kill Bill Volume 2', 'id': '/m/0gz3h92', 'actor': 'Chia Hui Liu'}",Pai Mei,Kill Bill Volume 2,/m/0gz3h92,Chia Hui Liu
arrogant_kungfu_guy,"{'char': 'Apollo Creed', 'movie': 'Rocky', 'id': '/m/0k2n0d', 'actor': 'Carl Weathers'}",Apollo Creed,Rocky,/m/0k2n0d,Carl Weathers
arrogant_kungfu_guy,"{'char': 'Clubber Lang', 'movie': 'Rocky III', 'id': '/m/0k2n56', 'actor': 'Mr. T'}",Clubber Lang,Rocky III,/m/0k2n56,Mr. T
arrogant_kungfu_guy,"{'char': 'Storm Shadow', 'movie': 'G.I. Joe: The Rise of Cobra', 'id': '/m/052dfd5', 'actor': 'Lee Byung-Hun'}",Storm Shadow,G.I. Joe: The Rise of Cobra,/m/052dfd5,Lee Byung-Hun
arrogant_kungfu_guy,"{'char': 'Kurgan', 'movie': 'Highlander', 'id': '/m/02214xq', 'actor': 'Clancy Brown'}",Kurgan,Highlander,/m/02214xq,Clancy Brown
arrogant_kungfu_guy,"{'char': 'Anakin Skywalker', 'movie': 'Star Wars Episode III: Revenge of the Sith', 'id': '/m/02sg5ry', 'actor': 'Hayden Christensen'}",Anakin Skywalker,Star Wars Episode III: Revenge of the Sith,/m/02sg5ry,Hayden Christensen
big_man_on_campus,"{'char': 'Guy Perkins', 'movie': 'Never Been Kissed', 'id': '/m/02vbkvz', 'actor': 'Jeremy Jordan'}",Guy Perkins,Never Been Kissed,/m/02vbkvz,Jeremy Jordan
big_man_on_campus,"{'char': 'John Tucker', 'movie': 'John Tucker Must Die', 'id': '/m/0j_6gm', 'actor': 'Jesse Metcalfe'}",John Tucker,John Tucker Must Die,/m/0j_6gm,Jesse Metcalfe
big_man_on_campus,"{'char': 'Woody Deane', 'movie': ""It's a Boy Girl Thing"", 'id': '/m/02vc983', 'actor': 'Kevin Zegers'}",Woody Deane,It's a Boy Girl Thing,/m/02vc983,Kevin Zegers
big_man_on_campus,"{'char': 'Van Wilder', 'movie': ""National Lampoon's Van Wilder"", 'id': '/m/0k14rv', 'actor': 'Ryan Reynolds'}",Van Wilder,National Lampoon's Van Wilder,/m/0k14rv,Ryan Reynolds
big_man_on_campus,"{'char': 'Paul Metzler', 'movie': 'Election', 'id': '/m/02vdf9d', 'actor': 'Chris Klein'}",Paul Metzler,Election,/m/02vdf9d,Chris Klein
big_man_on_campus,"{'char': 'Troy Bolton', 'movie': 'High School Musical', 'id': '/m/0jzdys', 'actor': 'Zac Efron'}",Troy Bolton,High School Musical,/m/0jzdys,Zac Efron
big_man_on_campus,"{'char': 'Mike Dexter', 'movie': ""Can't Hardly Wait"", 'id': '/m/03jsnmf', 'actor': 'Peter Facinelli'}",Mike Dexter,Can't Hardly Wait,/m/03jsnmf,Peter Facinelli
bounty_hunter,"{'char': 'Man with No Name', 'movie': 'For a Few Dollars More', 'id': '/m/0jybsq', 'actor': 'Clint Eastwood'}",Man with No Name,For a Few Dollars More,/m/0jybsq,Clint Eastwood
bounty_hunter,"{'char': 'Josey Wales', 'movie': 'The Outlaw Josey Wales', 'id': '/m/0k61jr', 'actor': 'Clint Eastwood'}",Josey Wales,The Outlaw Josey Wales,/m/0k61jr,Clint Eastwood
bounty_hunter,"{'char': 'Jellon Lamb', 'movie': 'The Proposition', 'id': '/m/06wh7_d', 'actor': 'John Hurt'}",Jellon Lamb,The Proposition,/m/06wh7_d,John Hurt
bounty_hunter,"{'char': 'Beck', 'movie': 'The Rundown', 'id': '/m/0k6bqx', 'actor': 'The Rock'}",Beck,The Rundown,/m/0k6bqx,The Rock
bounty_hunter,"{'char': 'Rick Deckard', 'movie': 'Blade Runner', 'id': '/m/0jvhbm', 'actor': 'Harrison Ford'}",Rick Deckard,Blade Runner,/m/0jvhbm,Harrison Ford
bounty_hunter,"{'char': 'Leonard Smalls', 'movie': 'Raising Arizona', 'id': '/m/02vbtgt', 'actor': 'Randall ""Tex"" Cobb'}",Leonard Smalls,Raising Arizona,/m/02vbtgt,"Randall ""Tex"" Cobb"
bounty_hunter,"{'char': 'Jack Walsh', 'movie': 'Midnight Run', 'id': '/m/0k0n9r', 'actor': 'Robert De Niro'}",Jack Walsh,Midnight Run,/m/0k0n9r,Robert De Niro
bounty_hunter,"{'char': 'Milo Boyd', 'movie': 'The Bounty Hunter', 'id': '/m/0772tb3', 'actor': 'Gerard Butler'}",Milo Boyd,The Bounty Hunter,/m/0772tb3,Gerard Butler
bounty_hunter,"{'char': 'Toombs', 'movie': 'The Chronicles of Riddick', 'id': '/m/0k4qdz', 'actor': 'Nick Chinlund'}",Toombs,The Chronicles of Riddick,/m/0k4qdz,Nick Chinlund
bounty_hunter,"{'char': 'Nick Randall', 'movie': 'Wanted: Dead or Alive', 'id': '/m/03jsm0f', 'actor': 'Rutger Hauer'}",Nick Randall,Wanted: Dead or Alive,/m/03jsm0f,Rutger Hauer
brainless_beauty,"{'char': 'Gemma Honeycutt', 'movie': ""Fool's Gold"", 'id': '/m/04dddz5', 'actor': 'Alexis Dziena'}",Gemma Honeycutt,Fool's Gold,/m/04dddz5,Alexis Dziena
brainless_beauty,"{'char': 'Matt Mateo', 'movie': 'The Opposite of Sex', 'id': '/m/02tbdw7', 'actor': 'Ivan Sergei'}",Matt Mateo,The Opposite of Sex,/m/02tbdw7,Ivan Sergei
brainless_beauty,"{'char': 'Paul Metzler', 'movie': 'Election', 'id': '/m/02vdf9d', 'actor': 'Chris Klein'}",Paul Metzler,Election,/m/02vdf9d,Chris Klein
brainless_beauty,"{'char': 'Shelley Darlingson', 'movie': 'The House Bunny', 'id': '/m/04dgw4t', 'actor': 'Anna Faris'}",Shelley Darlingson,The House Bunny,/m/04dgw4t,Anna Faris
brainless_beauty,"{'char': 'Brace Channing', 'movie': 'My Favorite Martian', 'id': '/m/03lvf22', 'actor': 'Elizabeth Hurley'}",Brace Channing,My Favorite Martian,/m/03lvf22,Elizabeth Hurley
