year,ceremony,award,winner,nominee,film
1927,1,Actor,False,Richard Barthelmess,The Noose
1927,1,Actor,True,Emil Jannings,The Last Command
1927,1,Actress,False,Louise Dresser,A Ship Comes In
1927,1,Actress,True,Janet Gaynor,7th Heaven
1927,1,Actress,False,Gloria Swanson,Sadie Thompson
1928,2,Actor,False,George Bancroft,Thunderbolt
1928,2,Actor,True,Warner Baxter,In Old Arizona
1928,2,Actor,False,Chester Morris,Alibi
1928,2,Actor,False,Paul Muni,The Valiant
1928,2,Actor,False,Lewis Stone,The Patriot
1928,2,Actress,False,Ruth Chatterton,Madame X
1928,2,Actress,False,Betty Compson,The Barker
1928,2,Actress,False,Jeanne Eagels,The Letter
1928,2,Actress,False,Corinne Griffith,The Divine Lady
1928,2,Actress,False,Bessie Love,The Broadway Melody
1928,2,Actress,True,Mary Pickford,Coquette
1929,3,Actor,True,George Arliss,Disraeli
1929,3,Actor,False,George Arliss,The Green Goddess
1929,3,Actor,False,Wallace Beery,The Big House
1929,3,Actor,False,Maurice Chevalier,The Big Pond
1929,3,Actor,False,Ronald Colman,Bulldog Drummond
1929,3,Actor,False,Lawrence Tibbett,The Rogue Song
1929,3,Actress,False,Nancy Carroll,The Devil's Holiday
1929,3,Actress,False,Ruth Chatterton,Sarah and Son
1929,3,Actress,False,Greta Garbo,Anna Christie
1929,3,Actress,True,Norma Shearer,The Divorcee
1929,3,Actress,False,Norma Shearer,Their Own Desire
1929,3,Actress,False,Gloria Swanson,The Trespasser
1930,4,Actor,True,Lionel Barrymore,A Free Soul
1930,4,Actor,False,Jackie Cooper,Skippy
1930,4,Actor,False,Richard Dix,Cimarron
1930,4,Actor,False,Fredric March,The Royal Family of Broadway
1930,4,Actor,False,Adolphe Menjou,The Front Page
1930,4,Actress,False,Marlene Dietrich,Morocco
1930,4,Actress,True,Marie Dressler,Min and Bill
1930,4,Actress,False,Irene Dunne,Cimarron
1930,4,Actress,False,Ann Harding,Holiday
1930,4,Actress,False,Norma Shearer,A Free Soul
1931,5,Actor,True,Wallace Beery,The Champ
1931,5,Actor,False,Alfred Lunt,The Guardsman
1931,5,Actor,True,Fredric March,Dr. Jekyll and Mr. Hyde
1931,5,Actress,False,Marie Dressler,Emma
1931,5,Actress,False,Lynn Fontanne,The Guardsman
1931,5,Actress,True,Helen Hayes,The Sin of Madelon Claudet
1932,6,Actor,False,Leslie Howard,Berkeley Square
1932,6,Actor,True,Charles Laughton,The Private Life of Henry VIII
1932,6,Actor,False,Paul Muni,I Am a Fugitive from a Chain Gang
1932,6,Actress,True,Katharine Hepburn,Morning Glory
1932,6,Actress,False,May Robson,Lady for a Day
1932,6,Actress,False,Diana Wynyard,Cavalcade
1934,7,Actor,True,Clark Gable,It Happened One Night
