title,box_office,genres_IMDB,release_year,averageRating,numVotes,GPE_entities,GPE_US_frequencies,Percentage_american_culture
The Hunger Games,686533290.0,"Action,Adventure,Sci-Fi",2012.0,7.2,1022897.0,['Panem'],Counter(),0.0
The Lemon Drop Kid,2300000.0,"Comedy,Crime,Music",1951.0,7.0,2303.0,"['New York City', 'Florida', 'New York', 'New York', 'Manhattan', 'Nyack', 'Nellie']","Counter({'New York': 2, 'Florida': 1, 'Manhattan': 1, 'Nyack': 1})",0.7142857142857143
Dark Water,49483352.0,"Drama,Horror,Mystery",2005.0,5.6,66164.0,"['Jersey City', 'Roosevelt Island', 'Jersey City']",Counter({'Jersey City': 2}),0.6666666666666666
Sing,2260616.0,"Drama,Musical",1989.0,6.7,974.0,['Brooklyn'],Counter({'Brooklyn': 1}),1.0
Meet John Doe,,"Comedy,Drama,Romance",1941.0,7.6,15255.0,['Millsville'],Counter(),0.0
Husband for Hire,,,2008.0,,,"['Texas', 'New Mexico']","Counter({'Texas': 1, 'New Mexico': 1})",1.0
Exodus,,,1960.0,,,"['Israel', 'Cyprus', 'Palestine', 'Mandate Palestine', 'Famagusta', 'America', 'Palestine', 'Jerusalem', 'Abu Yesha', 'Gan Dafna', 'Israel', 'Jerusalem', 'Gan Dafna', 'Gan Dafna']","Counter({'Palestine': 2, 'Jerusalem': 2})",0.2857142857142857
House Party 2,19438638.0,"Comedy,Drama,Music",1991.0,5.3,7205.0,[],Counter(),0.0
Charlie Chan's Secret,,,1936.0,,,[],Counter(),0.0
The Biggest Fan,,,2002.0,,,[],Counter(),0.0
Green Dragon,,,2001.0,,,"['the United States', 'Saigon', 'Vietnam', 'Vietnam', 'United States', 'Vietnam']",Counter(),0.0
Red's Dream,,"Animation,Family,Fantasy",1987.0,6.3,8023.0,[],Counter(),0.0
Class of '61,,,1993.0,,,[],Counter(),0.0
A Merry Mixup,,,1957.0,,,[],Counter(),0.0
Samson and Delilah,11000000.0,,1949.0,,,"['Gaza', 'Gaza']",Counter(),0.0
Getting Even,,"Action,Adventure,Romance",1986.0,4.5,377.0,"['Afghanistan', 'U.S.']",Counter(),0.0
"Love, Mary",,,1985.0,,,"['Portland', 'Oregon']","Counter({'Portland': 1, 'Oregon': 1})",1.0
The Deep End of the Ocean,28121100.0,,1999.0,,,[],Counter(),0.0
River of No Return,5250375.0,,1954.0,,,"['the Northwestern United States', 'Council City', 'Council City', 'Council City']",Counter(),0.0
Yankee Doodle Daffy,,,1943.0,,,[],Counter(),0.0
Mickey's Big Game Hunt,,,1928.0,,,[],Counter(),0.0
The Dancing Fool,,"Animation,Comedy,Family",1932.0,6.2,155.0,[],Counter(),0.0
Bikini Beach,,,1964.0,,,['Bikini Beach'],Counter(),0.0
Against Her Will: An Incident in Baltimore,,,1992.0,,,"['Baltimore', 'Maryland']","Counter({'Baltimore': 1, 'Maryland': 1})",1.0
Milk and Honey,,,1936.0,,,[],Counter(),0.0
Cheap Kisses,,,1924.0,,,[],Counter(),0.0
