title,box_office,genres_IMDB,release_year,averageRating,numVotes,GPE_entities,GPE_US_frequencies,Percentage_american_culture
My Brother's Keeper,,,1948.0,,,['London'],Counter(),0.0
Chinnavar,,,1992.0,,,[],Counter(),0.0
The Policeman,,,1970.0,,,"[""Tel-Aviv's"", 'Jaffa']",Counter(),0.0
Bandhe Haath,,,1973.0,,,[],Counter(),0.0
Nothing to Declare,,,2011.0,,,"['Courquain', 'France', 'Koorkin', 'Belgium']",Counter(),0.0
The Black Corsair,,,1976.0,,,[],Counter(),0.0
Aparan,,"Mystery,Thriller",1988.0,7.9,499.0,['Kochi'],Counter(),0.0
The Assassin,,,1952.0,,,"['Venice', 'Italy']",Counter(),0.0
Ithu Nammude Katha,,Drama,2011.0,4.4,78.0,"['Kuttanad', 'Govindapuram', 'Govindapuram']",Counter(),0.0
I Am King of Joseon,,,,,,['Korea'],Counter(),0.0
La gran familia,,,,,,[],Counter(),0.0
Libido,,,1973.0,,,[],Counter(),0.0
Una mujer sin amor,,,1952.0,,,"['Mexico', 'Brazil']",Counter(),0.0
Maha Chor,,"Action,Comedy,Drama",1976.0,5.8,61.0,"['Juhu', 'Bombay', 'Raigadh', 'Juhu', 'Raigadh', 'Raigadh', 'Raigadh', 'Madras']",Counter({'Madras': 1}),0.125
The Boy Who Cried Werewolf,,,,,,"['Wolfsberg', 'Romania', 'Wolfsberg', 'Wolfsberg', 'Wolfsberg', 'Wolfsberg', 'U.S.']",Counter(),0.0
Mother India,,,1957.0,,,[],Counter(),0.0
Il Postino,21848932.0,,1994.0,,,"['Italy', 'Chile', 'Chile', 'Naples']",Counter(),0.0
Betty Blue,,,1986.0,,,[],Counter(),0.0
Crimes at the Dark House,,Drama,1940.0,6.2,634.0,"['Australia', 'England', 'England']",Counter(),0.0
Mighty Baby,,,2002.0,,,[],Counter(),0.0
Phir Kabhi,,,2009.0,,,[],Counter(),0.0
Indochine,,,1992.0,,,"['Indochina', 'Haiphong', 'Haiphong', 'Vietnam', 'France', 'China', 'France', 'Indochina', 'France', 'Saigon', 'France', 'Geneva', 'France', 'Vietnam', 'North', 'South Vietnam']",Counter(),0.0
Neberte nam princeznu,,,,,,[],Counter(),0.0
Pieta,,,2012.0,,,[],Counter(),0.0
Plug & Pray,,,2010.0,,,"['Japan', 'USA', 'Italy', 'Germany']",Counter({'USA': 1}),0.25
Le gendarme se marie,,,1968.0,,,[],Counter(),0.0
Fantastic Planet,,,1973.0,,,[],Counter(),0.0
Beck - Pensionat Parlan,,,1998.0,,,[],Counter(),0.0
Blind,15713724.0,,2011.0,,,[],Counter(),0.0
The Truth about Nanjing,,,,,,"['Tokyo', 'America']",Counter({'America': 1}),0.5
Agent Vinod,,,2012.0,,,"['Afghanistan', 'Afghanistan', 'New Delhi', 'Russia', 'Moscow', 'Morocco', 'Marakkesh', 'Morocco', 'Morocco', 'Marakkesh', 'Chaman', 'Baluchistan', 'India', 'Morocco', 'Morocco', 'Latvia', 'Latvia', 'Karachi', 'Karachi', 'Karachi', 'India', 'New Delhi', 'New Delhi', 'London', 'India', 'Pakistan', 'Cape Town']",Counter(),0.0
Yeh Jo Mohabbat Hai,,,2012.0,,,['Poland'],Counter(),0.0
3 saisons,,Drama,2009.0,7.1,68.0,"['Montreal', 'Calgary', 'Montreal']",Counter(),0.0
Demobbed,,,2000.0,,,[],Counter(),0.0
Luv Shuv Tey Chicken Khurana,,,2012.0,,,"['London', 'UK', 'Punjab', 'London', 'Punjab']",Counter(),0.0
Friendship,,,2008.0,,,[],Counter(),0.0
The Victim,,,2006.0,,,['Thailand'],Counter(),0.0
Judex,,,,,,[],Counter(),0.0
Thanks maa,,,2008.0,,,['Mumbai'],Counter(),0.0
Klamek ji bo Beko,,War,1992.0,6.3,95.0,"['Turkey', 'Syria', 'Iraqi Kurdistan', 'Iraq', 'Germany']",Counter(),0.0
Shifty,,,2009.0,,,[],Counter(),0.0
Great Expectations,,,1946.0,,,"['London', 'London']",Counter(),0.0
Diaboliquement votre,,"Crime,Drama,Thriller",1967.0,6.0,1957.0,[],Counter(),0.0
Aasha,,"Comedy,Romance",1957.0,6.7,38.0,['Bombay'],Counter(),0.0
Poppoya,,,1999.0,,,['Hokkaido'],Counter(),0.0
Bharathi Kannamma,,,1997.0,,,[],Counter(),0.0
Parc,,"Crime,Drama,Thriller",2008.0,4.5,160.0,['London'],Counter(),0.0
Rebellion,,,2009.0,,,['Thai'],Counter(),0.0
Mughal-e-Azam,,,1960.0,,,['India'],Counter(),0.0
"Jacob, the Liar",,,1975.0,,,['Poland'],Counter(),0.0
ANG PAMANA,,,,,,"['Manila', 'Manila', 'Manila', 'Bulacan', 'Canada', 'Philippines']",Counter(),0.0
Shinsengumi,,"Action,Adventure,Drama",1969.0,6.9,477.0,['Japan'],Counter(),0.0
Suddenly Naked,,"Comedy,Drama,Romance",2001.0,5.8,437.0,[],Counter(),0.0
The Dawning,,"Drama,Romance,Thriller",1988.0,6.0,427.0,[],Counter(),0.0
Le Beau Serge,,,1958.0,,,[],Counter(),0.0
Storm Rider,,,1972.0,,,"['Jefferson', 'Saxon City']",Counter({'Jefferson': 1}),0.5
Virumbugiren,,,2002.0,,,[],Counter(),0.0
The Man Who Quit Smoking,,,1972.0,,,[],Counter(),0.0
Anantha Poongathe,,,1999.0,,,[],Counter(),0.0
Mela,,,2000.0,,,"['Chandanpur', 'Chandanpur', 'Chandanpur', 'Chandanpur']",Counter(),0.0
Outpost,,"Action,Horror,Sci-Fi",2008.0,5.8,18064.0,[],Counter(),0.0
El Fin,,,2011.0,,,[],Counter(),0.0
Takkari,,,2007.0,,,[],Counter(),0.0
Gurushetram - 24 Hours of Anger,,,,,,['Singapore'],Counter(),0.0
Le Magnifique,,,1973.0,,,[],Counter(),0.0
Fata Morgana,,,,,,['Morocco'],Counter(),0.0
Thappana,,,2012.0,,,[],Counter(),0.0
Afghan Luke,,,2011.0,,,"['Afghanistan', 'Afghanistan', 'Afghanistan', 'Afghanistan', 'Afghanistan', 'Matteen']",Counter(),0.0
La ragazza di via Condotti,,,1973.0,,,['Rome'],Counter(),0.0
Strange Brew,8571374.0,,1983.0,,,"['Elsinore', 'Elsinore', 'Elsinore']",Counter(),0.0
The Assault,,,1986.0,,,[],Counter(),0.0
El Amateur,,,1999.0,,,[],Counter(),0.0
Sadhanai,,,1986.0,,,[],Counter(),0.0
Ring of Spies,,"Crime,Drama,Thriller",1964.0,6.6,504.0,[],Counter(),0.0
Dar alanda kisa paslasmalar,,,2000.0,,,[],Counter(),0.0
The Last Witness,,,,,,['Japan'],Counter(),0.0
Makante achan,,,2009.0,,,[],Counter(),0.0
Retenez Moi...Ou Je Fais Un Malheur,,,1984.0,,,"['Las Vegas', 'France', 'France']",Counter({'Las Vegas': 1}),0.3333333333333333
State of Dogs,,Documentary,1998.0,7.4,166.0,"['Mongolia', 'Ulan Bator']",Counter(),0.0
For the Love of Ada,,"Comedy,Romance",1972.0,5.8,162.0,[],Counter(),0.0
Big Nothing,,"Comedy,Crime,Thriller",2006.0,6.7,32068.0,"['Oregon', 'Oregon', 'Wyoming', 'Wyoming', 'Seattle', 'Washington', 'Oregon']","Counter({'Oregon': 3, 'Wyoming': 2, 'Seattle': 1, 'Washington': 1})",1.0
Farewell My Concubine,5216888.0,,1993.0,,,"['China', 'China', 'Beijing', 'Beijing', 'Beijing', 'China', 'Beijing']",Counter(),0.0
Apna Sapna Money Money,,,2006.0,,,"['Bandra', 'Mumbai', 'kishan', 'Bangkok']",Counter(),0.0
Anari,,,1959.0,,,[],Counter(),0.0
Ashlaa,,,2009.0,,,[],Counter(),0.0
Sivandha Mann,,,1969.0,,,"['Vasanthapuri', 'Tamil Nadu', 'India', 'Vasanthapuri', 'Zurich', 'Vasanthapuri', 'Vasanthapuri']",Counter(),0.0
Phir Teri Kahani Yaad Aayee,,,1993.0,,,[],Counter(),0.0
Gharshana,,,2004.0,,,"['Hyderabad City', 'Orissa', 'Hyderabad City']",Counter(),0.0
Malicious Pleasure,,,,,,"['Fontbonne', 'Fontbonne']",Counter(),0.0
The One Who My Heart Longs For,,,2004.0,,,[],Counter(),0.0
Bloody Spear at Mount Fuji,,,,,,['Edo'],Counter(),0.0
Madurai Veeran,,,2007.0,,,[],Counter(),0.0
Peepli Live,,,2010.0,,,"['Peepli', 'Mukhya Pradesh', 'India', 'Peepli', 'Peepli', 'Peepli', 'Mukhya Pradesh', 'Peepli', 'Peepli', 'Peepli', 'Gurgaon']",Counter(),0.0
Bas Itna Sa Khwaab Hai,,,2001.0,,,"['Mumbai', 'Benaras']",Counter(),0.0
I Am Curious (Yellow),27686100.0,,1967.0,,,"['Stockholm', 'Stockholm', 'Spain', 'Spain', 'Spain']",Counter(),0.0
Winter Cicada,,,2007.0,,,"['Shinagawa Gotenyama', 'Japan', 'London', 'England', 'Japan', 'Japan', 'Japan']",Counter(),0.0
London Paris New York,,Romance,2012.0,5.6,3857.0,"['New York', 'London', 'New York', 'London', 'London', 'New York', 'New York', 'Paris', 'New York', 'Paris', 'London', 'New York', 'New York City', 'Mumbai']","Counter({'New York': 6, 'New York City': 1})",0.5
Daisy Town,,,1972.0,,,"['Daisy Town', 'Daisy Town', 'Daisy Town', ""Daisy Town's"", 'Daisy Town']","Counter({""Daisy Town's"": 1})",0.2
Parakh,,,1960.0,,,[],Counter(),0.0
Dil Hai Ke Manta Nahin,,,1991.0,,,"['Mumbai', 'Bangalore', 'Bangalore']",Counter(),0.0
Humdrum,,,1998.0,,,[],Counter(),0.0
Decoys 2: Alien Seduction,,,2007.0,,,[],Counter(),0.0
La Verite si je mens!,,,1997.0,,,['Paris'],Counter(),0.0
"No sos vos, soy yo",,"Comedy,Drama,Romance",2004.0,6.6,2513.0,"['the United States', 'Argentina', 'the States', 'Argentina']","Counter({'the United States': 1, 'the States': 1})",0.5
Moss,21925534.0,,2010.0,,,[],Counter(),0.0
Merupu Daadi,,,1984.0,,,['Bahadur'],Counter(),0.0
Su Excelencia,,,1966.0,,,"['Los Cocos', 'Dolaronia', 'Pepeslavia']",Counter(),0.0
Tolerantia,,"Animation,Short",2008.0,6.2,218.0,[],Counter(),0.0
Maayavi,,,2005.0,,,['mahabalipuram'],Counter(),0.0
Bhagavad Gita,,,1993.0,,,[],Counter(),0.0
Qaidi,,,2002.0,,,"['US', 'US']",Counter({'US': 2}),1.0
Break Ke Baad,,,2010.0,,,"['Australia', 'Australia', 'Australia', 'India']",Counter(),0.0
Tzameti,795223.0,,2005.0,,,['France'],Counter(),0.0
Dangerous Moonlight,,,1941.0,,,"['Poland', 'Germany', 'Warsaw', 'New York', 'England', 'London']",Counter({'New York': 1}),0.16666666666666666
The Singing Ringing Tree,,,1957.0,,,[],Counter(),0.0
Le dernier homme,,,2006.0,,,[],Counter(),0.0
The Good Witch's Garden,,,2009.0,,,"['Middleton', 'Middleton']",Counter({'Middleton': 2}),1.0
Bhool Bhulaiyaa,,"Comedy,Horror,Mystery",2007.0,7.5,34241.0,"['America', 'London']",Counter({'America': 1}),0.5
Newtonin 3-m Vidhi,,,2008.0,,,['koyambedu'],Counter(),0.0
StreetDance 3D,,"Drama,Music,Romance",2010.0,5.8,11730.0,['London'],Counter(),0.0
Farewell to the Duman River,,,1962.0,,,['Manchuria'],Counter(),0.0
"He Ain't Heavy, He's My Father",,,,,,[],Counter(),0.0
Kiss Kiss,,,2001.0,,,[],Counter(),0.0
Love and War,,"Animation,Short",2006.0,6.9,178.0,[],Counter(),0.0
The Forbidden Team,,,2003.0,,,"['Tibet', 'Greenland', 'Dharamsala', 'India', 'Kopenhagen', 'Denmark', 'Greenland']",Counter({'Greenland': 2}),0.2857142857142857
Martin,,,1997.0,,,['Madrid'],Counter(),0.0
Paheli,,,2005.0,,,[],Counter(),0.0
Adultery Diary: One More Time While I'm Still Wet,,,1996.0,,,[],Counter(),0.0
Page 3,,,2005.0,,,"['Mumbai', 'the United States', 'Delhi']",Counter({'the United States': 1}),0.3333333333333333
La Florida,,Comedy,1993.0,5.8,540.0,"['Montreal', 'Fort Lauderdale']",Counter({'Fort Lauderdale': 1}),0.5
Sun Alley,,,1999.0,,,"['East Germany', 'West Berlin']",Counter({'West Berlin': 1}),0.5
Manmadhan,,"Crime,Romance,Thriller",2004.0,7.2,4585.0,['Coimbatore'],Counter(),0.0
Antigua vida mia,,Drama,2001.0,5.6,173.0,['Buenos Aires'],Counter(),0.0
Naked Massacre,,,1976.0,,,['Ireland'],Counter(),0.0
The Voyager,516517.0,,1991.0,,,"['Caracas', 'Venezuela', 'New York City', 'Zurich', 'Switzerland', 'Zurich', 'Mexico City', 'Guatamala', 'New York City', 'Paris', 'Paris', 'Rome', 'France', 'Avignon', 'France', 'Italy', 'Florence', 'Orvieto', 'Rome', 'Zurich', 'Greece', 'Athens']","Counter({'New York City': 2, 'Athens': 1})",0.13636363636363635
Mrigayaa,,,1976.0,,,['India'],Counter(),0.0
Manthri gari Viyyankudu,,,1983.0,,,[],Counter(),0.0
Warlords of the 21st Century,3000000.0,,1982.0,,,"['Clearwater', 'Clearwater', 'Clearwater', 'Clearwater', 'Clearwater', 'Clearwater', 'Clearwater', 'Clearwater']",Counter({'Clearwater': 8}),1.0
Veer,,,2010.0,,,"['India', 'the Rajasthani Kingdom of Madhavghar', 'India', 'Madhavghar', 'Madhavghar', 'Rajasthan', 'Rajasthan', 'Madhavghar', 'Rajasthan', 'Madhavghar']",Counter(),0.0
Never Say Never Mind: The Swedish Bikini Team,,,2001.0,,,"['London', 'Los Alamos']",Counter({'Los Alamos': 1}),0.5
Anomalias electricas,,"Animation,Short",2010.0,5.0,37.0,['Malabo'],Counter(),0.0
Fiffty Fiffty,,,1981.0,,,"['India', 'Bombay', 'Chandpur', 'Chandpur']",Counter(),0.0
Chanakya,,,2005.0,,,[],Counter(),0.0
The Violin,,,,,,"['Cremona', 'Sombor']",Counter(),0.0
The Kingdom,,,1994.0,,,"['Copenhagen', 'Blegdamsvej', 'Sweden']",Counter(),0.0
Who Is Running?,,,,,,[],Counter(),0.0
Nasibo,,,1993.0,,,"['Danpura', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai']",Counter(),0.0
Dost,,,1989.0,,,[],Counter(),0.0
Sunny,,,2011.0,,,['Jeollado'],Counter(),0.0
She's On Duty,,,2005.0,,,[],Counter(),0.0
Mapado,,,2005.0,,,[],Counter(),0.0
La Residence Ylang Ylang,,,2008.0,,,[],Counter(),0.0
The Price of a Song,,"Crime,Drama",1935.0,5.2,24.0,[],Counter(),0.0
A Big Bang Love: Juvenile,,,2006.0,,,[],Counter(),0.0
The Eternal Empire,,,1994.0,,,[],Counter(),0.0
Bandhana,,,1984.0,,,[],Counter(),0.0
Don't Move,,,2004.0,,,[],Counter(),0.0
Troublesome Night 3,,,1998.0,,,[],Counter(),0.0
Idhaya Thirudan,,,2005.0,,,[],Counter(),0.0
Super,,,2005.0,,,"['Mumbai', 'Mumbai']",Counter(),0.0
Poor Cow,,"Crime,Drama,Romance",1967.0,6.8,2059.0,[],Counter(),0.0
Khalass,,,2007.0,,,['Beirut'],Counter(),0.0
Cruel Winter Blues,2507321.0,,2006.0,,,[],Counter(),0.0
Dubai,,,2001.0,,,"['Bangalore', 'Dubai', 'Dubai', 'Mumbai', 'Dubai', 'Bangalore', 'Dubai', 'Mumbai', 'Bhatta', 'Dubai', 'Delhi', 'Dubai']",Counter(),0.0
Rasen,,"Drama,Fantasy,Horror",1998.0,5.2,4158.0,[],Counter(),0.0
Epitaph,4443849.0,,2007.0,,,[],Counter(),0.0
Marine A Go Go,,,2001.0,,,[],Counter(),0.0
Singapore Dreaming,,,2006.0,,,"['the United States', 'Singapore', 'Malaysia']",Counter({'the United States': 1}),0.3333333333333333
Atoll K,,,1950.0,,,[],Counter(),0.0
Kirikou and the Wild Beasts,,,2005.0,,,[],Counter(),0.0
One-Way Ticket to Mombasa,,,2002.0,,,"['Lapland', 'Mombasa', 'Lapland', 'Mombasa']",Counter(),0.0
Rendu,,,2006.0,,,"['Chennai', 'Kumbakonam', 'Kumbakonam', 'Chennai', 'Kumbakonam', 'Kumbakonam']",Counter(),0.0
Naa Alludu,,Romance,2005.0,3.4,620.0,[],Counter(),0.0
Ko Bongisa Mutu,,,2002.0,,,"['Paris', 'Congo-Kinshasa', 'Paris']",Counter(),0.0
Go Go 70s,,,2008.0,,,"['South Korea', 'U.S.']",Counter(),0.0
Armitage III,,,1994.0,,,"['Saint Lowell', 'Chicago']","Counter({'Saint Lowell': 1, 'Chicago': 1})",1.0
Dasavatharam,,,2007.0,,,"['Chidambaram', 'USA', 'India', 'India', 'India', 'Fletcher', 'Chidambaram']","Counter({'USA': 1, 'Fletcher': 1})",0.2857142857142857
Starship Invasions,,,,,,[],Counter(),0.0
The Light,,,,,,[],Counter(),0.0
Departamento compartido,,,1980.0,,,[],Counter(),0.0
Bombay To Bangkok,,,2008.0,,,"['Bangkok', 'Bangkok']",Counter(),0.0
Written By,,,2009.0,,,[],Counter(),0.0
Aimee & Jaguar,,,1999.0,,,"['Germany', 'Berlin']",Counter(),0.0
Upside Down,5938940.0,,2012.0,,,[],Counter(),0.0
Mort & Phil. Mission: Save Earth,,,2008.0,,,['Rome'],Counter(),0.0
Kallarali Hoovagi,,,2006.0,,,"['Chitradurga', 'Chitradurga']",Counter(),0.0
The Last Emperor,43984230.0,,1987.0,,,"['the Soviet Union', 'China']",Counter(),0.0
As Seen Through a Telescope,,,1900.0,,,[],Counter(),0.0
Landru,,"Biography,Crime,Drama",1963.0,6.4,1264.0,['Paris'],Counter(),0.0
Eldorado,,,,,,"['Eldorado', 'Eldorado', 'Eldorado', 'Eldorado']",Counter(),0.0
Jallikattu Kaalai,,,1994.0,,,[],Counter(),0.0
Beauty and the Beast,,,1946.0,,,[],Counter(),0.0
"Que la barque se brise, que la jonque s'entrouvre",,,2001.0,,,[],Counter(),0.0
Praja,,,2001.0,,,"['Kochi', 'Mumbai', 'Mumbai', 'Mumbai', 'Kochi', 'Kochi', 'Mumbai', 'Mumbai', 'Mumbai']",Counter(),0.0
Flower & Garnet,,Drama,2002.0,6.8,568.0,[],Counter(),0.0
Tansy,,,1921.0,,,[],Counter(),0.0
Dr. Akagi,,,1998.0,,,[],Counter(),0.0
Chidambaram,,,1985.0,,,"['Kerala', 'Tamil Nadu', 'Tamil Nadu', 'Chidambaram']",Counter(),0.0
Pellet,,,2000.0,,,[],Counter(),0.0
The Housemaid,14775615.0,,2010.0,,,[],Counter(),0.0
Malsaram,,,2004.0,,,"['Chennai', 'Chennai']",Counter(),0.0
Secrets of a Superstud,,Comedy,1976.0,4.3,50.0,[],Counter(),0.0
Chakushin Ari 2,,,2005.0,,,"['Tokyo', 'Taiwan', 'Taiwan', 'Taiwan']",Counter(),0.0
Dirty Pretty Things,13904766.0,,2002.0,,,"['London', 'Nigeria', 'London', 'Nigeria', 'New York City', 'New York', 'New York']","Counter({'New York': 2, 'New York City': 1})",0.42857142857142855
Hitler,,,1997.0,,,[],Counter(),0.0
La separation,92180.0,"Drama,Romance",1994.0,6.9,1163.0,[],Counter(),0.0
The Living Dead,,,1932.0,,,[],Counter(),0.0
Evolusi KL Drift,,"Action,Crime,Drama",2008.0,5.2,157.0,[],Counter(),0.0
Big Animal,,,2000.0,,,[],Counter(),0.0
Second Name,,,2002.0,,,[],Counter(),0.0
Picknick mit Weissmann,,,1968.0,,,[],Counter(),0.0
Jung,,,1996.0,,,[],Counter(),0.0
The Vanishing,,,1988.0,,,"['France', 'Nimes']",Counter(),0.0
"Foster Daddy, Tora!",,,1980.0,,,['Tokyo'],Counter(),0.0
Ryokunohara Meikyuu,,,1990.0,,,[],Counter(),0.0
The Piano,40157856.0,,1993.0,,,"['New Zealand', 'New Zealand', 'New Zealand', 'Nelson']",Counter(),0.0
Alice in Wonderland,,,2006.0,,,"['Singapore', 'Hollywood']",Counter({'Hollywood': 1}),0.5
MP3 - Mera Pehla Pehla Pyaar,,,2007.0,,,"['Delhi', 'London', 'Paris', 'Paris', 'Paris', 'Paris']",Counter(),0.0
Manolete,,,2007.0,,,['Linares'],Counter(),0.0
Moscow Does Not Believe In Tears,,,1979.0,,,"['Moscow', 'Moscow', 'Moscow']",Counter(),0.0
A Boy Called Dad,,Drama,2009.0,6.4,716.0,[],Counter(),0.0
Caresses,,,1997.0,,,['Barcelona'],Counter(),0.0
Metegol,,,2013.0,,,[],Counter(),0.0
Diljale,,,1996.0,,,"['Vaishno Devi', 'India', 'Pakistan', 'Pakistan']",Counter(),0.0
Chal Chalein,,,2009.0,,,[],Counter(),0.0
Thulabharam,,,1968.0,,,[],Counter(),0.0
The Fox and the Child,,,2007.0,,,['France'],Counter(),0.0
Memories,,,1995.0,,,[],Counter(),0.0
Learning to Lie,,,2003.0,,,"['West Germany', 'San Francisco', 'Berlin', 'Berlin', 'Berlin', 'Berlin']",Counter({'San Francisco': 1}),0.16666666666666666
Munde U.K. De,,,2009.0,,,"['Punjab', 'Punjab', 'UK']",Counter(),0.0
Let Sleeping Corpses Lie,,,1974.0,,,"['Manchester', 'South Gate', 'Windermere']",Counter({'South Gate': 1}),0.3333333333333333
Mama Jack,,,2005.0,,,"['Cape Town', 'South Africa', 'Scotland']",Counter(),0.0
Tango Charlie,,,2005.0,,,"['Assam', 'UP', 'Bihar', 'Assam', 'India', 'Assam', 'Haryana', 'Andhra Pradesh', 'Hyderabad', 'Gujarat', 'Bengal', 'India', 'Pakistan']","Counter({'UP': 1, 'Bengal': 1})",0.15384615384615385
Knockout,,,2011.0,,,[],Counter(),0.0
Peddarayudu,,,,,,"['Pedarayudu', 'Pedarayudu']",Counter(),0.0
Mr. Vampire III,,,1987.0,,,[],Counter(),0.0
Doraemon: Nobita's the Night Before a Wedding,,,1999.0,,,[],Counter(),0.0
Kabaddi,,,2009.0,,,[],Counter(),0.0
Carry On Regardless,,,1961.0,,,[],Counter(),0.0
Detectives on the Edge of a Nervous Breakdown,,,1993.0,,,['Newcastle upon Tyne'],Counter(),0.0
King Solomon's Mines,,,1937.0,,,"['Kimberley', 'South Africa', 'Solomon']",Counter({'Solomon': 1}),0.3333333333333333
Chhota Bheem & Ganesh,,,,,,['Dholakpur'],Counter(),0.0
1 Day,,,2009.0,,,[],Counter(),0.0
Gangaajal,,,2003.0,,,"['the Tezpur District', 'Bihar', 'Tezpur', 'Tezpur']",Counter(),0.0
The Swordswoman of Huangjiang,,,1930.0,,,[],Counter(),0.0
Karishma Kudrat Ka,,,1985.0,,,[],Counter(),0.0
"I'm a Cyborg, But That's OK",4642401.0,,2006.0,,,[],Counter(),0.0
Kinara,,,,,,"['Mandu', 'Mandu']",Counter(),0.0
Siempre tuya,,,,,,"['Zacatecas', 'Mexico City', 'Mexico']",Counter(),0.0
I'll see you in my dreams,,,2003.0,,,[],Counter(),0.0
Nina's Tragedies,,,2003.0,,,['Tel Aviv'],Counter(),0.0
The Piano Tuner of Earthquakes,,,2005.0,,,[],Counter(),0.0
Maid-Droid,,,2008.0,,,[],Counter(),0.0
Mumbai Meri Jaan,,,2008.0,,,"['Mumbai', 'Mumbai', 'Mumbai', 'Mumbai']",Counter(),0.0
Kantatar,,,,,,"['India', 'Bangladesh', 'India', 'India', 'Bangladesh']",Counter(),0.0
