title,box_office,genres_IMDB,release_year,averageRating,numVotes,GPE_entities,GPE_US_frequencies,Percentage_american_culture
Taxi Blues,,,1990.0,,,[],Counter(),0.0
Narasimham,,"Action,Drama",2000.0,7.6,2012.0,"['Bharathapuzha', 'Kerala', 'Poovally']",Counter(),0.0
Up and Down,2705163.0,,2004.0,,,[],Counter(),0.0
Ghost In The Noonday Sun,,,1973.0,,,[],Counter(),0.0
Ashes to Ashes,,Thriller,1999.0,7.1,23.0,"['London', 'England', 'London', 'France']",Counter(),0.0
The Rats of Tobruk,,"Action,Drama,War",1944.0,5.4,316.0,"['Australia', 'Tobruk', 'New Guinea', 'Australia']",Counter(),0.0
Nee Sneham,,,2002.0,,,"['Kolkata', 'Goa', 'Goa', 'Delhi', 'Delhi', 'Mumbai', 'Mumbai']",Counter(),0.0
Bhagwan Dada,,,1986.0,,,"['Bhagwaan', 'Shantinagar', 'Shambu Dada’s', 'Shantinagar', 'Shantinagar', 'Bijli', 'Shantinagar', 'Shantinagar', 'Bhagwaan', 'Shantinagar', 'Shantinagar']",Counter(),0.0
Mr. & Mrs. '55,,"Comedy,Musical,Romance",1955.0,7.1,688.0,['mumbai'],Counter(),0.0
Amici miei,,"Comedy,Drama",1975.0,7.9,8171.0,['Florence'],Counter(),0.0
Red Cliff,248400000.0,,2008.0,,,"['Jing Province', 'Changban', 'Jiangdong', 'Jing Province']",Counter(),0.0
"The Good, the Bad, the Weird",44261209.0,,2008.0,,,"['Manchuria', 'the Japanese Empire']",Counter(),0.0
To Fili Tis Zois,,,,,,"['Milos', 'Sifnos', 'Sifnos']",Counter(),0.0
No Entry,,,2005.0,,,[],Counter(),0.0
Tahaan,,,2008.0,,,[],Counter(),0.0
Men In The City,,,2009.0,,,['Berlin'],Counter(),0.0
The Storm Riders,,,1998.0,,,[],Counter(),0.0
La Cite de la peur,,,1994.0,,,[],Counter(),0.0
The Saddest Music in the World,,"Comedy,Musical",2003.0,7.0,6394.0,"['Winnipeg', 'Canada', 'Winnipeg', 'America', 'Canada', 'Winnipeg', 'Serbia', 'America']",Counter({'America': 2}),0.25
Twist,47370.0,Drama,2003.0,6.2,1416.0,"['London', 'Toronto']",Counter(),0.0
Shaadi No. 1,,,2005.0,,,[],Counter(),0.0
Kelviyum Naane Pathilum Naane,,,1982.0,,,[],Counter(),0.0
Sagar alias Jackie,,,,,,"['Kerala', 'Goa', 'Goa', 'Dubai']",Counter(),0.0
Givat Halfon Eina Ona,,,1976.0,,,['Tel Aviv'],Counter(),0.0
Geometria,,,1987.0,,,[],Counter(),0.0
In the Land of the Deaf,,,1992.0,,,['France'],Counter(),0.0
Gates of the Night,,,1946.0,,,[],Counter(),0.0
First on the Moon,,,2005.0,,,"['USSR', 'Chile', 'China', 'Antafagasta']",Counter(),0.0
Treed Murray,,,2001.0,,,[],Counter(),0.0
Sundays and Cybelle,,,1962.0,,,[],Counter(),0.0
The Bloody Fists,,,2004.0,,,['China'],Counter(),0.0
Rhythm,,,2000.0,,,"['Navi Mumbai', 'Mumbai', 'Coonoor', 'Mumbai']",Counter(),0.0
The Passion of Joan of Arc,,,1928.0,,,"['France', 'Bloomington']",Counter({'Bloomington': 1}),0.5
Champion,,,2000.0,,,"['Punjab', 'Mumbai']",Counter(),0.0
Frozen with Fear,,"Crime,Mystery,Thriller",2001.0,4.5,330.0,[],Counter(),0.0
Journey of a Woman,,,2007.0,,,"['Banaras', 'Mumbai', 'Mumbai', 'Banaras', 'Zurich']",Counter(),0.0
Day Watch,38862712.0,,2006.0,,,"['Moscow', 'Moscow', 'Moscow', 'Moscow', 'Moscow']",Counter(),0.0
Classmates,,,2006.0,,,"['Muvattupuzha', 'Mumbai']",Counter(),0.0
Spring Bears Love,,,2003.0,,,[],Counter(),0.0
Ninja Resurrection,,,1998.0,,,"['Japan', 'Shimabara', 'Harano', 'Tokugawa', 'Harano', 'Harano', 'Kishu', 'Kishu', 'Kishu', 'Edo', 'Kishu', 'Edo']",Counter(),0.0
A Game for Vultures,,,1979.0,,,"['Southern Rhodesia', 'South-West Africa', 'Rhodesia', 'Rhodesia']",Counter({'South-West Africa': 1}),0.25
Suryavamsam,,,1997.0,,,[],Counter(),0.0
The Understudy,,,2008.0,,,[],Counter(),0.0
L: Change the World,35227275.0,"Crime,Drama,Mystery",2008.0,6.0,8911.0,"['Thailand', 'Thailand', 'US']",Counter({'US': 1}),0.3333333333333333
Sa Pusod ng Dagat,,,1998.0,,,[],Counter(),0.0
