title,box_office,genres_IMDB,release_year,averageRating,numVotes,Total_tokens,Tokens_US_frequencies,Percentage_american_culture_lexicon
Christmas in Paradise,,,2007.0,,,84,Counter({'vacation': 1}),0.011904761904761904
Breath of Hate,,,2009.0,,,29,Counter(),0.0
Lights of New York,,,1916.0,,,32,Counter(),0.0
"Rip, Sew and Stitch",,,1953.0,,,66,Counter(),0.0
Zandy's Bride,,"Drama,Western",1974.0,6.3,1304.0,65,Counter(),0.0
Horton Hears a Who!,297138014.0,,2008.0,,,267,Counter(),0.0
Always Outnumbered,,,1998.0,,,18,Counter(),0.0
Cinderella Liberty,,"Drama,Romance",1973.0,6.7,2510.0,95,Counter(),0.0
Folks!,6132924.0,,1992.0,,,253,Counter({'mcdonalds': 2}),0.007905138339920948
The Secret Man,,Western,1917.0,5.0,61.0,19,Counter(),0.0
Tell Them Willie Boy Is Here,,"Drama,Western",1969.0,6.3,3337.0,178,"Counter({'sheriff': 2, 'deputy': 1})",0.016853932584269662
Carib Gold,,,1956.0,,,473,Counter(),0.0
Wait Until Dark,17550741.0,,1967.0,,,561,Counter(),0.0
Enemies Among Us,,,2010.0,,,128,Counter({'senator': 1}),0.0078125
Orphans Of The Storm,,,1921.0,,,235,Counter(),0.0
Dark and Stormy Night,,"Comedy,Mystery",2009.0,6.6,809.0,340,Counter(),0.0
Face the Evil,,,1997.0,,,43,Counter(),0.0
"Love, Wedding, Marriage",,,2011.0,,,626,Counter(),0.0
The Spell of the Circus,,,1931.0,,,14,Counter(),0.0
The Notorious Elinor Lee,,Drama,1940.0,4.8,13.0,85,Counter(),0.0
"Rack, Shack, and Benny",,,1995.0,,,449,Counter(),0.0
Lucky Losers,,,1950.0,,,41,Counter(),0.0
Easy Money,29309766.0,,1983.0,,,192,Counter(),0.0
Abbott and Costello Meet the Keystone Kops,,,1955.0,,,164,"Counter({'hollywood': 1, 'western': 1})",0.012195121951219513
Mildred Pierce,,"Crime,Drama,Film-Noir",1945.0,7.9,29321.0,238,Counter(),0.0
Land of the Lost,69548641.0,"Action,Adventure,Comedy",2009.0,5.3,76461.0,327,Counter(),0.0
The Santa Clause 3: The Escape Clause,110768122.0,"Adventure,Comedy,Family",2006.0,4.8,43248.0,309,Counter(),0.0
Tigger and Pooh and A Musical Too,,,2009.0,,,83,Counter(),0.0
The Evil Dead,29400000.0,Horror,1981.0,7.4,238776.0,333,"Counter({'spring break': 1, 'vacation': 1})",0.006006006006006006
Postmortem,,Thriller,1998.0,5.0,2172.0,11,Counter(),0.0
Mighty Aphrodite,26000000.0,"Comedy,Fantasy,Romance",1995.0,7.0,43382.0,175,Counter({'basketball': 1}),0.005714285714285714
Fish Hooky,,"Comedy,Family,Short",1933.0,7.6,242.0,89,Counter(),0.0
The Mechanical Monsters,,,,,,294,Counter({'costume': 1}),0.003401360544217687
That Old Feeling,16574176.0,,1997.0,,,74,"Counter({'election': 1, 'congress': 1})",0.02702702702702703
King of the Ants,,,2003.0,,,321,Counter(),0.0
For the Record,,,2008.0,,,125,Counter(),0.0
The Woman on the Beach,,"Crime,Drama,Film-Noir",1947.0,6.4,2699.0,342,Counter({'fishing trip': 1}),0.0029239766081871343
Battlestar Galactica: The Plan,,,2009.0,,,1012,Counter({'hunting': 1}),0.0009881422924901185
Friday the 13th Part 2,22722776.0,,1981.0,,,268,Counter(),0.0
The Surprise of a Knight,,,1930.0,,,144,Counter(),0.0
Noises Off...,2280148.0,,1992.0,,,123,Counter({'broadway': 1}),0.008130081300813009
Three Brave Men,,Drama,1956.0,6.8,218.0,98,Counter({'patriotism': 1}),0.01020408163265306
Orgy of the Dead,,,1965.0,,,88,Counter(),0.0
An Eye for an Eye,7496681.0,"Action,Adventure,Crime",1981.0,5.5,4689.0,103,Counter(),0.0
The Gun,,,1974.0,,,9,Counter(),0.0
A Chump at Oxford,,,1940.0,,,412,"Counter({'president': 1, 'campus': 1})",0.0048543689320388345
Bad Boys,9190819.0,"Crime,Drama,Thriller",1983.0,7.2,17557.0,274,Counter(),0.0
The Dead Don't Die,,,1975.0,,,132,Counter(),0.0
Strictly Business,,"Comedy,Romance",1991.0,5.5,2325.0,30,Counter(),0.0
Killer Tomatoes Eat France,,,1991.0,,,100,Counter(),0.0
Jacknife,2049769.0,"Drama,War",1989.0,6.4,6653.0,83,"Counter({'high school': 1, 'prom': 1})",0.024096385542168676
Dirty Work,,"Comedy,Sci-Fi,Short",1933.0,7.5,2054.0,134,Counter(),0.0
Charlie Chan in Paris,,Mystery,1935.0,7.1,1787.0,118,Counter({'vacation': 1}),0.00847457627118644
Pink Collar,,,2006.0,,,76,Counter(),0.0
Canary Row,,,1950.0,,,439,Counter(),0.0
Naughty Marietta,,"Drama,Musical,Romance",1935.0,6.5,1577.0,558,Counter({'western': 1}),0.0017921146953405018
The Lizzie McGuire Movie,55534455.0,,2003.0,,,287,"Counter({'high school': 2, 'president': 1, 'fireworks': 1})",0.013937282229965157
Overnight,,,2004.0,,,238,Counter({'hollywood': 2}),0.008403361344537815
The Andromeda Strain,,,,,,747,Counter({'president': 4}),0.00535475234270415
St. Benny the Dip,,"Comedy,Crime",1951.0,5.6,311.0,73,Counter(),0.0
I Am David,292376.0,"Adventure,Drama",2003.0,7.1,8244.0,103,Counter(),0.0
His First Flame,,"Action,Comedy,Romance",1927.0,5.8,186.0,58,Counter(),0.0
The War Wagon,6000000.0,"Drama,Western",1967.0,6.8,11178.0,80,Counter(),0.0
Fine Things,,,1990.0,,,268,Counter({'vacation': 1}),0.0037313432835820895
The Mouthpiece,,Drama,1932.0,7.2,595.0,144,Counter(),0.0
Space Jam,,,1996.0,,,267,"Counter({'basketball': 5, 'freedom': 2, 'nba': 2, 'baseball': 1})",0.03745318352059925
Baby Butch,,,1954.0,,,147,Counter(),0.0
Ceiling Zero,,"Adventure,Drama,Romance",1936.0,6.7,797.0,220,Counter(),0.0
Wild Cactus,,"Drama,Thriller",1993.0,4.6,370.0,40,Counter({'vacation': 2}),0.05
A Lad an' a Lamp,,"Comedy,Family,Short",1932.0,7.5,257.0,41,Counter(),0.0
SpongeBob's Truth or Square,,,2009.0,,,430,Counter(),0.0
Gym Teacher: The Movie,,,2008.0,,,42,Counter(),0.0
Tales of Manhattan,,,1942.0,,,216,Counter(),0.0
Batman: Mystery of the Batwoman,,,2003.0,,,304,Counter({'interstate': 1}),0.003289473684210526
The Admiral Was a Lady,,,1950.0,,,259,Counter({'lifeguard': 1}),0.003861003861003861
Rocky,225000000.0,"Drama,Sport",1976.0,8.1,643838.0,305,Counter(),0.0
Steel Magnolias,95904091.0,,1989.0,,,180,Counter(),0.0
Bring Me the Head of Charlie Brown,,"Action,Animation,Comedy",1986.0,7.1,501.0,238,Counter({'soda': 1}),0.004201680672268907
The Robe,36000000.0,,1953.0,,,1142,"Counter({'senator': 3, 'pledge': 2})",0.0043782837127845885
Next Day Air,10027047.0,"Action,Comedy,Crime",2009.0,5.7,11216.0,210,Counter(),0.0
"Follow Me, Boys!",16207116.0,,1966.0,,,93,Counter(),0.0
The Cold Light of Day,16863583.0,"Action,Thriller",2012.0,4.9,40167.0,348,Counter(),0.0
Little Secrets,405792.0,"Comedy,Drama,Family",2001.0,6.4,3469.0,207,Counter(),0.0
Jay and Silent Bob Strike Back,33788161.0,Comedy,2001.0,6.8,162647.0,499,"Counter({'hollywood': 7, 'diner': 1, 'sheriff': 1})",0.018036072144288578
The Rocker,8767338.0,"Comedy,Music",2008.0,6.2,40471.0,424,Counter({'prom': 3}),0.007075471698113208
Odd Girl Out,,,2005.0,,,322,Counter(),0.0
Some Kind of a Nut,,,1970.0,,,110,"Counter({'vacation': 2, 'jazz': 1})",0.02727272727272727
Here Comes the Boom,30610000.0,"Action,Comedy,Sport",2012.0,6.4,96329.0,102,Counter({'high school': 1}),0.00980392156862745
Tonight Is Ours,,"Drama,Romance",1933.0,6.3,164.0,7,Counter(),0.0
A Big Hand for the Little Lady,,Western,1966.0,7.3,4821.0,285,"Counter({'saloon': 1, 'settlers': 1})",0.007017543859649123
What Price Glory,2000000.0,,1952.0,,,48,Counter(),0.0
How to Eat Like a Child,,,1981.0,,,53,Counter(),0.0
Crazy on the Outside,88335.0,"Comedy,Crime",2010.0,5.5,7154.0,398,Counter(),0.0
Chang,,,1927.0,,,73,Counter(),0.0
Pennies from Heaven,,"Drama,Musical,Romance",1981.0,6.5,6426.0,205,Counter(),0.0
Centurians of Rome,,,1981.0,,,33,Counter(),0.0
Night After Night,,"Comedy,Drama",1932.0,6.7,1103.0,44,Counter(),0.0
China Moon,,"Crime,Drama,Mystery",1994.0,6.3,8012.0,549,Counter(),0.0
The Monster Maker,,"Horror,Sci-Fi",1944.0,4.8,1290.0,51,Counter(),0.0
April Showers,,"Crime,Drama",2009.0,5.6,1037.0,423,Counter({'high school': 1}),0.002364066193853428
The King of Kings,,,1927.0,,,361,Counter(),0.0
Out Cold,13906394.0,"Comedy,Sport",2001.0,6.2,18698.0,89,Counter(),0.0
The Man with the Golden Arm,4350000.0,,1955.0,,,249,Counter({'turkey': 1}),0.004016064257028112
Thank You Mask Man,,"Animation,Comedy,Short",1971.0,6.5,375.0,58,Counter(),0.0
Mama Loves Papa,,Comedy,1945.0,6.1,61.0,103,Counter(),0.0
House,22144631.0,,1986.0,,,220,Counter(),0.0
Wishbone's Dog Days of the West,,,1998.0,,,27,Counter(),0.0
The Pentagon Wars,,,1998.0,,,416,"Counter({'pentagon': 2, 'congress': 1})",0.007211538461538462
Lost & Found,17552255.0,,1999.0,,,45,Counter(),0.0
My Life,27484464.0,Drama,1993.0,6.8,12413.0,311,"Counter({'backyard': 2, 'basketball': 1})",0.00964630225080386
The Naked Gun: From the Files of Police Squad!,78756177.0,"Comedy,Crime",1988.0,7.6,189723.0,476,"Counter({'fireworks': 1, 'baseball': 1, 'home plate': 1, 'marching band': 1})",0.008403361344537815
Remote,,,1993.0,,,90,Counter({'baseball': 1}),0.011111111111111112
Unprecedented: The 2000 Presidential Election,,Documentary,2002.0,7.8,673.0,141,"Counter({'election': 2, 'republican': 2})",0.028368794326241134
Aliens of the Deep,,,2005.0,,,106,Counter(),0.0
Tubby the Tuba,,,,,,79,Counter(),0.0
Little Miss Millions,,,1993.0,,,35,Counter(),0.0
Easy A,74952305.0,,2010.0,,,262,Counter(),0.0
Futurama: The Wild Green Yonder,,,2009.0,,,481,Counter(),0.0
Threesome,14815317.0,,1994.0,,,99,Counter(),0.0
A Modern Hero,,"Drama,Romance",1934.0,6.3,282.0,218,Counter(),0.0
By Hook or by Crook,,,2002.0,,,68,Counter(),0.0
Thrashin',,"Action,Drama,Romance",1986.0,6.5,5194.0,301,"Counter({'skateboard': 2, 'highway': 1})",0.009966777408637873
Doing Time on Maple Drive,,,1992.0,,,125,Counter(),0.0
Curse of the Talisman,,,2001.0,,,57,Counter(),0.0
Mil Mascaras Resurrection,,,2007.0,,,44,Counter(),0.0
I Come in Peace,,,,,,216,Counter(),0.0
Me and Dad's New Wife,,,1975.0,,,29,Counter(),0.0
Descendant,,,2003.0,,,53,Counter(),0.0
Gor,,,1987.0,,,130,Counter(),0.0
Hurricane Streets,,,1998.0,,,53,Counter(),0.0
Whistle Stop,,"Crime,Drama,Film-Noir",1946.0,5.5,1378.0,82,Counter(),0.0
The Wedding,,,1998.0,,,97,Counter(),0.0
Tarzan the Ape Man,2540000.0,,1932.0,,,104,Counter(),0.0
S.F.W.,63513.0,"Comedy,Drama",1994.0,5.7,5487.0,399,"Counter({'freedom': 1, 'fast food': 1, 'high school': 1})",0.007518796992481203
Union Pacific,,"Drama,Western",1939.0,7.0,3475.0,50,Counter({'president': 1}),0.02
Destry Rides Again,,"Comedy,Western",1939.0,7.6,12807.0,103,"Counter({'sheriff': 4, 'deputy': 2, 'saloon': 1, 'western': 1})",0.07766990291262135
Ladies They Talk About,,Drama,1933.0,6.6,1867.0,53,Counter(),0.0
Paranormal Activity 2,177512032.0,,2010.0,,,338,Counter(),0.0
Motives,,,2004.0,,,250,Counter(),0.0
The Secret Code,,,1942.0,,,125,Counter(),0.0
The Yellow Rose of Texas,,,1944.0,,,40,Counter({'cowboy': 1}),0.025
Savages,,"Comedy,Fantasy",1972.0,5.5,406.0,44,Counter(),0.0
Two O'Clock Courage,,"Crime,Drama,Film-Noir",1945.0,6.5,1416.0,11,Counter(),0.0
A Smile as Big as the Moon,,,2012.0,,,40,Counter({'high school': 1}),0.025
Camp Rock,,,2008.0,,,275,Counter({'president': 1}),0.0036363636363636364
The Story of Temple Drake,,"Crime,Drama",1933.0,7.1,1939.0,18,Counter(),0.0
The House on 92nd Street,,"Crime,Drama,Film-Noir",1945.0,6.6,3366.0,241,Counter(),0.0
Barbie Mariposa,,,2008.0,,,359,Counter(),0.0
Daffy Dilly,,"Animation,Comedy,Family",1948.0,7.6,466.0,187,Counter(),0.0
Henry: Portrait Of A Serial Killer,609939.0,,1986.0,,,358,Counter({'motel': 2}),0.00558659217877095
The Flying Scissors,,,2009.0,,,41,Counter(),0.0
Bowery to Bagdad,,,1955.0,,,58,Counter(),0.0
The Apostle,19868354.0,,1997.0,,,164,Counter({'highway': 1}),0.006097560975609756
Feast,658573.0,,2006.0,,,260,Counter(),0.0
Necessary Roughness,26255594.0,"Comedy,Sport",1991.0,6.2,13379.0,321,"Counter({'high school': 2, 'college football': 1, 'quarterback': 1, 'campus': 1})",0.01557632398753894
The Devil's Hand,,Horror,1961.0,4.6,1461.0,83,Counter(),0.0
Brewster's Millions,,"Comedy,Romance",1945.0,6.6,1536.0,226,Counter(),0.0
Escape to Witch Mountain,,,1995.0,,,243,Counter({'sheriff': 3}),0.012345679012345678
Wishmaster,,"Fantasy,Horror",1997.0,5.8,26431.0,381,Counter(),0.0
Stowaway,,"Adventure,Family,Musical",1936.0,7.1,1516.0,72,Counter(),0.0
Bleed,,,2002.0,,,334,Counter(),0.0
Pop Rocks,,,2004.0,,,97,Counter({'suburbia': 1}),0.010309278350515464
Trick Or Treats,,,1982.0,,,22,Counter({'halloween': 1}),0.045454545454545456
Forbidden Nights,,,1990.0,,,30,Counter(),0.0
A Ticket to Tomahawk,,,1950.0,,,34,Counter({'dodge': 1}),0.029411764705882353
Saturday the 14th,4000000.0,"Comedy,Fantasy,Horror",1981.0,4.6,5274.0,170,Counter(),0.0
Love and Suicide,,,2006.0,,,72,Counter(),0.0
Waldo's Last Stand,,"Comedy,Family,Short",1940.0,5.7,138.0,85,Counter(),0.0
If I Were King,,"Adventure,History",1938.0,7.1,1051.0,103,Counter(),0.0
The Phantom Tollbooth,,"Adventure,Animation,Comedy",1970.0,6.7,3625.0,82,Counter(),0.0
Scar,,"Crime,Horror,Thriller",2007.0,4.1,2990.0,56,"Counter({'high school': 1, 'high school graduation': 1})",0.03571428571428571
Mysterious Mr. Moto,,"Crime,Mystery",1938.0,6.7,910.0,29,Counter(),0.0
Jack London,,,1943.0,,,15,Counter(),0.0
Herbie Goes to Monte Carlo,,,1977.0,,,329,Counter({'flag': 1}),0.00303951367781155
Graduation Day,23894000.0,,1981.0,,,31,"Counter({'high school': 1, 'high school graduation': 1})",0.06451612903225806
Tweety and the Beanstalk,,"Animation,Comedy,Family",1957.0,7.0,479.0,149,Counter(),0.0
Trailing the Killer,,"Adventure,Thriller,Western",1932.0,5.1,49.0,13,Counter(),0.0
Come and Get It,,,1936.0,,,103,Counter({'saloon': 1}),0.009708737864077669
Destry,1500000.0,Western,1954.0,6.6,1680.0,94,"Counter({'sheriff': 5, 'deputy': 1, 'saloon': 1})",0.07446808510638298
Radio Inside,,,1994.0,,,157,Counter({'lifeguard': 1}),0.006369426751592357
Ghost in the Machine,5086909.0,"Horror,Sci-Fi,Thriller",1993.0,4.6,4245.0,203,Counter(),0.0
The Patriot,,,1998.0,,,179,Counter(),0.0
The Cat from Outer Space,,"Comedy,Family,Sci-Fi",1978.0,6.0,6274.0,492,Counter({'basketball': 1}),0.0020325203252032522
Corpus Callosum,,,2007.0,,,85,Counter(),0.0
A Night at the Golden Eagle,,,2002.0,,,36,Counter(),0.0
The Man from Colorado,,"Romance,Western",1948.0,6.6,2045.0,274,"Counter({'flag': 4, 'civil war': 1})",0.01824817518248175
Peluca,,,2003.0,,,64,Counter(),0.0
Bad Lieutenant,2019469.0,,1992.0,,,415,Counter(),0.0
Toy Story 2,485015179.0,,1999.0,,,414,"Counter({'cowboy': 1, 'yard sale': 1, 'cowgirl': 1})",0.007246376811594203
The Last Picture Show,29133000.0,,1971.0,,,275,"Counter({'high school': 1, 'pickup': 1, 'pickup truck': 1, 'road trip': 1, 'motel': 1})",0.01818181818181818
My Fair Lady,72000000.0,,1964.0,,,379,Counter(),0.0
Living Dolls: The Making of a Child Beauty Queen,,,,,,158,Counter(),0.0
Camelot,31102578.0,,1967.0,,,398,Counter({'hunting': 1}),0.002512562814070352
The Cisco Kid and the Lady,,,1939.0,,,22,Counter(),0.0
Wild Hearts,,,,,,24,"Counter({'mustang': 1, 'sheriff': 1})",0.08333333333333333
Titicut Follies,,Documentary,1967.0,7.7,5245.0,25,Counter(),0.0
Thunder Birds,,,1942.0,,,349,Counter({'fourth of july': 1}),0.0028653295128939827
Northfork,,"Drama,Fantasy",2003.0,6.2,5628.0,57,Counter(),0.0
Susan Slept Here,2250000.0,"Comedy,Drama,Romance",1954.0,6.4,2204.0,181,"Counter({'hollywood': 2, 'senator': 1})",0.016574585635359115
The Tie That Binds,,"Crime,Drama,Thriller",1995.0,5.0,1274.0,261,Counter({'baseball': 1}),0.0038314176245210726
All Quiet on the Western Front,,,1930.0,,,710,"Counter({'high school': 1, 'patriotic': 1})",0.0028169014084507044
Far Out Man,,,1990.0,,,24,Counter({'road trip': 1}),0.041666666666666664
Black Swan,329398046.0,,2010.0,,,368,Counter(),0.0
Saturday's Hero,1150000.0,"Drama,Sport",1951.0,6.3,253.0,44,Counter(),0.0
Home Town Story,,"Comedy,Drama,Romance",1951.0,5.0,1123.0,74,Counter(),0.0
Here Comes Mr. Jordan,,"Comedy,Fantasy,Romance",1941.0,7.5,7529.0,351,Counter(),0.0
The Madwoman of Chaillot,,"Comedy,Drama",1969.0,5.9,1226.0,79,Counter(),0.0
Combat Academy,,,1986.0,,,31,Counter(),0.0
My Little Pony: The Movie,5958456.0,"Adventure,Animation,Family",1986.0,5.9,2928.0,307,Counter(),0.0
Heat Lightning,,"Crime,Drama",1934.0,7.1,1069.0,173,Counter(),0.0
A Stranger's Heart,,,2007.0,,,48,Counter(),0.0
Puppet Master 5: The Final Chapter,,,1994.0,,,284,Counter(),0.0
Down Twisted,,"Action,Adventure,Crime",1987.0,5.2,1111.0,19,Counter(),0.0
Dixiana,780000.0,"Comedy,Drama,Music",1930.0,5.3,438.0,23,Counter(),0.0
Devil's Island,,,1939.0,,,40,Counter(),0.0
Straight Talk,21202099.0,"Comedy,Drama,Romance",1992.0,5.7,4078.0,233,Counter(),0.0
Witchboard 2: The Devil's Doorway,,"Horror,Mystery",1993.0,5.0,2010.0,37,Counter(),0.0
Out of Sight,77745568.0,,1998.0,,,93,Counter(),0.0
A Dangerous Woman,1497222.0,"Drama,Romance",1993.0,5.7,2083.0,149,Counter(),0.0
Nobody Lives Forever,,"Crime,Drama,Film-Noir",1946.0,7.1,2013.0,163,Counter(),0.0
Skiptracers,,,2009.0,,,112,Counter(),0.0
Iron Will,21006361.0,"Adventure,Family",1994.0,6.6,9572.0,49,Counter(),0.0
Dark Command,,"Drama,Romance,War",1940.0,6.7,3149.0,75,Counter({'civil war': 1}),0.013333333333333334
The Green Hornet,,,,,,24,Counter(),0.0
Deadly Impact,,,2007.0,,,530,Counter({'senator': 1}),0.0018867924528301887
Superman vs. The Elite,,,2012.0,,,42,Counter(),0.0
The Quiet Man,3200000.0,"Comedy,Drama,Romance",1952.0,7.7,43254.0,203,Counter({'independence': 1}),0.0049261083743842365
God's Gift to Women,,"Comedy,Romance",1931.0,5.1,460.0,126,Counter(),0.0
Raising Jeffrey Dahmer,,,2006.0,,,10,Counter(),0.0
American Drug War: The Last White Hope,,,2007.0,,,107,Counter({'freedom': 1}),0.009345794392523364
Witchouse 2: Blood Coven,,,2000.0,,,44,Counter({'mall': 1}),0.022727272727272728
Annie Hall,38251425.0,,1977.0,,,272,Counter(),0.0
Night Monster,,"Adventure,Crime,Drama",1942.0,6.1,1948.0,206,Counter({'freedom': 1}),0.0048543689320388345
Football Romeo,,"Comedy,Family,Romance",1938.0,6.7,94.0,33,Counter({'touchdown': 1}),0.030303030303030304
Foxfire,,,,,,94,Counter(),0.0
Frivolous Wives,,,1918.0,,,193,Counter(),0.0
Deconstruction Red,,,2013.0,,,41,Counter(),0.0
Beyond Witch Mountain,,,1982.0,,,113,Counter(),0.0
Betty in Blunderland,,,1934.0,,,38,Counter(),0.0
The Jet Cage,,,,,,206,Counter({'freedom': 1}),0.0048543689320388345
The Green Archer,,,,,,117,Counter(),0.0
Mad Love,15453274.0,,1995.0,,,158,Counter({'high school': 1}),0.006329113924050633
Their Own Desire,,"Drama,Romance",1929.0,5.8,801.0,21,Counter(),0.0
Freeway Killer,,,2010.0,,,329,Counter({'freeway': 2}),0.0060790273556231
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,20109115.0,,1996.0,,,203,Counter(),0.0
A Flintstones Christmas Carol,,,1994.0,,,195,Counter(),0.0
Closet Cases of the Nerd Kind,,"Comedy,Sci-Fi,Short",1980.0,7.0,183.0,87,Counter(),0.0
Billy Two Hats,,"Drama,Romance,Western",1974.0,6.3,1853.0,159,Counter({'sheriff': 2}),0.012578616352201259
Return to Peyton Place,9996178.0,Drama,1961.0,5.9,1021.0,341,Counter({'high school': 1}),0.002932551319648094
I Never Sang for My Father,,Drama,1970.0,7.4,3052.0,41,Counter(),0.0
Angora Love,,"Comedy,Short",1929.0,6.8,962.0,14,Counter(),0.0
Dumb-Hounded,,"Animation,Comedy,Family",1943.0,7.5,1250.0,45,Counter(),0.0
Princess of Thieves,,,2001.0,,,170,Counter({'sheriff': 1}),0.0058823529411764705
The Wonderful Wizard of Oz,,"Adventure,Fantasy,Short",1910.0,5.7,1676.0,65,Counter(),0.0
Searching for Sonny,,,2011.0,,,43,Counter({'high school': 2}),0.046511627906976744
Fever Pitch,618847.0,"Drama,Mystery",1985.0,4.2,365.0,94,Counter(),0.0
The Beast from Haunted Cave,,,1959.0,,,169,Counter(),0.0
