title,box_office,genres_IMDB,release_year,averageRating,numVotes,Total_tokens,Tokens_US_frequencies,Percentage_american_culture_lexicon
The Hunger Games,686533290.0,"Action,Adventure,Sci-Fi",2012.0,7.2,1022897.0,410,Counter({'president': 2}),0.004878048780487805
The Lemon Drop Kid,2300000.0,"Comedy,Crime,Music",1951.0,7.0,2303.0,438,Counter(),0.0
Dark Water,49483352.0,"Drama,Horror,Mystery",2005.0,5.6,66164.0,375,Counter(),0.0
Sing,2260616.0,"Drama,Musical",1989.0,6.7,974.0,296,"Counter({'diner': 3, 'high school': 1})",0.013513513513513514
Meet John Doe,,"Comedy,Drama,Romance",1941.0,7.6,15255.0,290,"Counter({'baseball': 1, 'diner': 1})",0.006896551724137931
Husband for Hire,,,2008.0,,,182,Counter(),0.0
Exodus,,,1960.0,,,409,Counter(),0.0
House Party 2,19438638.0,"Comedy,Drama,Music",1991.0,5.3,7205.0,683,Counter({'campus': 5}),0.007320644216691069
Charlie Chan's Secret,,,1936.0,,,56,Counter(),0.0
The Biggest Fan,,,2002.0,,,88,"Counter({'high school': 2, 'prom': 1})",0.03409090909090909
Green Dragon,,,2001.0,,,81,Counter(),0.0
Red's Dream,,"Animation,Family,Fantasy",1987.0,6.3,8023.0,142,Counter(),0.0
Class of '61,,,1993.0,,,30,Counter({'freedom': 1}),0.03333333333333333
A Merry Mixup,,,1957.0,,,57,Counter(),0.0
Samson and Delilah,11000000.0,,1949.0,,,199,Counter(),0.0
Getting Even,,"Action,Adventure,Romance",1986.0,4.5,377.0,15,Counter(),0.0
"Love, Mary",,,1985.0,,,59,Counter(),0.0
The Deep End of the Ocean,28121100.0,,1999.0,,,142,"Counter({'high school': 3, 'basketball': 2})",0.035211267605633804
River of No Return,5250375.0,,1954.0,,,206,"Counter({'hunting': 1, 'saloon': 1})",0.009708737864077669
Yankee Doodle Daffy,,,1943.0,,,106,Counter(),0.0
Mickey's Big Game Hunt,,,1928.0,,,12,Counter(),0.0
The Dancing Fool,,"Animation,Comedy,Family",1932.0,6.2,155.0,28,Counter(),0.0
Bikini Beach,,,1964.0,,,80,Counter(),0.0
Against Her Will: An Incident in Baltimore,,,1992.0,,,24,Counter(),0.0
Milk and Honey,,,1936.0,,,89,Counter(),0.0
Cheap Kisses,,,1924.0,,,19,Counter(),0.0
Rendezvous,,"Comedy,War",1935.0,6.6,1077.0,234,Counter(),0.0
Mysterious Mose,,,1930.0,,,95,Counter(),0.0
Killjoy,,,2000.0,,,456,Counter(),0.0
You,,,2009.0,,,237,Counter(),0.0
Soup or Sonic,,,1980.0,,,550,Counter(),0.0
Jaws: The Revenge,51881013.0,,1987.0,,,307,"Counter({'sheriff': 1, 'deputy': 1})",0.006514657980456026
The Healer,,Drama,1935.0,6.1,89.0,79,Counter(),0.0
"Girl, Positive",,,2007.0,,,93,Counter({'high school': 2}),0.021505376344086023
About Schmidt,105834556.0,,2002.0,,,340,Counter({'campus': 1}),0.0029411764705882353
Oil for the Lamps of China,,Drama,1935.0,6.4,334.0,296,Counter({'president': 1}),0.0033783783783783786
The Land Before Time III: The Time of the Great Giving,,,1995.0,,,307,Counter(),0.0
Liar Liar,302710615.0,"Comedy,Fantasy",1997.0,6.9,340769.0,310,Counter(),0.0
"Hush... Hush, Sweet Charlotte",7000000.0,,1964.0,,,348,Counter({'highway': 3}),0.008620689655172414
The Man from Monterey,,"Adventure,Music,Romance",1933.0,5.3,632.0,14,Counter(),0.0
Changes,,"Drama,Romance",1969.0,5.8,120.0,28,Counter(),0.0
The Emperor Jones,,,1933.0,,,320,Counter(),0.0
The Incredibly True Adventure of Two Girls in Love,1977544.0,"Comedy,Drama,Romance",1995.0,6.6,5365.0,333,"Counter({'high school': 2, 'motel': 2, 'diner': 1, 'hollywood': 1})",0.018018018018018018
More Pep,,,1936.0,,,30,Counter(),0.0
Expired,,,2007.0,,,317,Counter(),0.0
Novocaine,,"Comedy,Crime,Drama",2001.0,5.8,11897.0,375,Counter(),0.0
Maria's Lovers,,,1984.0,,,299,Counter(),0.0
American Dreamz,16458459.0,,2006.0,,,265,"Counter({'president': 4, 'election': 1, 'western': 1, 'broadway': 1})",0.026415094339622643
Rose by Any Other Name...,,Comedy,1997.0,3.8,19.0,29,Counter(),0.0
Three Little Bops,,,1957.0,,,214,Counter(),0.0
Pardon My Terror,,,,,,39,Counter(),0.0
Neverland,,,2011.0,,,612,Counter(),0.0
Old Clothes,,Drama,1925.0,2.3,186.0,63,Counter(),0.0
The Big Premiere,,,1940.0,,,41,Counter({'hollywood': 1}),0.024390243902439025
Each Dawn I Die,,"Crime,Drama,Film-Noir",1939.0,7.2,3844.0,270,Counter(),0.0
Bug Buster,,"Comedy,Horror,Sci-Fi",1998.0,3.9,1184.0,34,Counter(),0.0
Deepstar Six,8143225.0,,1989.0,,,353,Counter(),0.0
Maneater,,,2007.0,,,364,"Counter({'sheriff': 13, 'deputy': 4, 'hunting': 3})",0.054945054945054944
The Rounders,,"Comedy,Western",1965.0,6.1,1962.0,106,Counter({'rodeo': 2}),0.018867924528301886
Bowling Balls,,,2004.0,,,21,Counter(),0.0
The Secret Cinema,,,1968.0,,,26,Counter(),0.0
Mosquito Man,,,2005.0,,,310,Counter(),0.0
Tradition is a Temple,,,2011.0,,,53,Counter({'jazz': 4}),0.07547169811320754
Final Stab,,,2001.0,,,34,Counter(),0.0
