title,box_office,genres_IMDB,release_year,averageRating,numVotes,Total_tokens,Tokens_US_frequencies,Percentage_american_culture_lexicon
A Cry in the Dark,6908797.0,,1988.0,,,206,Counter({'barbecue': 1}),0.0048543689320388345
End Game,,"Action,Thriller",2006.0,5.1,5745.0,177,Counter({'president': 8}),0.04519774011299435
"Come Back, Africa",,,1960.0,,,206,Counter(),0.0
Kehtaa Hai Dil Baar Baar,,"Comedy,Drama,Romance",2002.0,4.7,204.0,86,Counter(),0.0
Pieces,2032311.0,,1982.0,,,295,"Counter({'skateboard': 1, 'campus': 1})",0.006779661016949152
The Good Life,,"Comedy,Drama",2007.0,6.4,2352.0,24,Counter(),0.0
Eastern Promises,17266000.0,,2007.0,,,287,Counter(),0.0
"Wait Until Spring, Bandini",,Drama,1989.0,6.2,754.0,28,Counter(),0.0
Sophie's Choice,30036000.0,"Drama,Romance",1982.0,7.5,53987.0,196,Counter(),0.0
Until Death,,"Action,Crime,Drama",2007.0,5.7,10503.0,325,Counter(),0.0
Anything Else,13585075.0,"Comedy,Romance",2003.0,6.3,33054.0,39,Counter(),0.0
Twelfth Night: Or What You Will,588621.0,,1996.0,,,210,Counter(),0.0
Say it in Russian,,,2007.0,,,24,Counter({'vacation': 1}),0.041666666666666664
The Million Dollar Hotel,,,2000.0,,,29,Counter(),0.0
Two Evil Eyes,349618.0,,1990.0,,,796,"Counter({'high school': 1, 'backyard': 1})",0.002512562814070352
Hot Millions,,"Comedy,Crime",1968.0,6.8,2388.0,50,Counter({'hunting': 1}),0.02
Take A Hard Ride,,,1975.0,,,94,Counter({'sheriff': 1}),0.010638297872340425
Northern Lights,,,2009.0,,,209,Counter(),0.0
Othello,,,2001.0,,,295,Counter(),0.0
Darkness,34409206.0,Horror,2002.0,5.4,20554.0,246,Counter(),0.0
Munich,130358911.0,"Action,Drama,History",2005.0,7.5,243144.0,554,Counter({'congress': 1}),0.0018050541516245488
Aces: Iron Eagle III,,,1992.0,,,377,"Counter({'jeep': 1, 'barbecue': 1})",0.005305039787798408
The Brotherhood III: Young Demons,,,2002.0,,,33,Counter({'hunting': 1}),0.030303030303030304
Tiptoes,,,2003.0,,,62,Counter(),0.0
Black Tulip,,,2010.0,,,14,Counter(),0.0
Stage Beauty,2153070.0,,2004.0,,,140,Counter(),0.0
Northern Lights,,,1997.0,,,56,Counter(),0.0
American Pie Presents: The Book of Love,,,2009.0,,,592,"Counter({'pledge': 2, 'peanut butter': 1, 'mall': 1, 'basketball': 1})",0.008445945945945946
"I Love You, I Love You Not",,,1997.0,,,70,Counter(),0.0
The In-Laws,26891849.0,,2003.0,,,70,Counter(),0.0
Zoolander,,,2001.0,,,373,Counter({'hollywood': 1}),0.002680965147453083
Atlantic City,12729675.0,"Crime,Drama,Romance",1980.0,7.3,18615.0,33,Counter(),0.0
Living in A Perfect World,,,2006.0,,,74,Counter(),0.0
High Road to China,28445927.0,"Adventure,Drama,Romance",1983.0,6.0,6146.0,76,Counter(),0.0
Appleseed,1461989.0,,2005.0,,,393,Counter(),0.0
Malena,14493284.0,,2000.0,,,265,Counter(),0.0
Samson and Delilah,,,1984.0,,,73,Counter(),0.0
Sidecar Racers,,Drama,1975.0,6.0,107.0,18,Counter(),0.0
I Witness,,,2003.0,,,69,Counter(),0.0
Miss Conception,,"Comedy,Romance",2008.0,4.6,2906.0,533,Counter({'turkey': 2}),0.00375234521575985
Envy,14581765.0,Comedy,2004.0,4.8,32596.0,264,Counter({'senate': 1}),0.003787878787878788
Bordertown,,,2006.0,,,194,Counter(),0.0
Closing the Ring,,,2007.0,,,147,Counter(),0.0
Case 39,13000000.0,"Horror,Mystery,Thriller",2009.0,6.2,94646.0,335,Counter(),0.0
Parzania,,,2007.0,,,119,Counter(),0.0
Bicentennial Man,87423861.0,"Drama,Romance,Sci-Fi",1999.0,6.9,126642.0,461,"Counter({'congress': 4, 'freedom': 1})",0.010845986984815618
No Good Deed,,,2003.0,,,705,Counter(),0.0
Amandla! A Revolution in Four Part Harmony,,"Documentary,History,Music",2002.0,7.4,626.0,112,Counter({'freedom': 3}),0.026785714285714284
Ice Twisters,,,2009.0,,,320,Counter(),0.0
Doom,55987321.0,,2005.0,,,1016,Counter(),0.0
Escape from Planet Earth,,,2013.0,,,85,Counter(),0.0
Dial M for Murder,6000000.0,"Crime,Thriller",1954.0,8.2,193078.0,404,Counter(),0.0
And the Violins stopped playing,,,1988.0,,,231,Counter(),0.0
A View to a Kill,152400000.0,"Action,Adventure,Thriller",1985.0,6.3,106724.0,441,Counter({'silicon valley': 1}),0.0022675736961451248
Lion of the Desert,,,1981.0,,,172,Counter({'flag': 1}),0.005813953488372093
The Kingdom,86579130.0,"Action,Drama,Thriller",2007.0,7.0,133605.0,694,"Counter({'western': 1, 'deputy': 1})",0.002881844380403458
Runaway Train,8000000.0,,1985.0,,,506,Counter(),0.0
Mandela,,,1995.0,,,33,"Counter({'president': 1, 'freedom': 1})",0.06060606060606061
I'll Sleep When I'm Dead,490964.0,,2004.0,,,375,Counter(),0.0
Death to Smoochy,8382938.0,"Comedy,Crime,Drama",2002.0,6.3,43153.0,328,Counter({'costume': 1}),0.003048780487804878
I Can't Think Straight,,,2008.0,,,112,Counter(),0.0
The King is Alive,,,2000.0,,,50,Counter(),0.0
Snow White,,"Family,Fantasy,Musical",1987.0,6.5,976.0,68,Counter(),0.0
Darwin,,,2011.0,,,56,Counter(),0.0
City Girl,,,1984.0,,,21,Counter(),0.0
Split Image,263635.0,,1982.0,,,53,Counter({'stetson': 1}),0.018867924528301886
Khartoum,,,1966.0,,,298,Counter(),0.0
100 anos de perdon,,,,,,14,Counter(),0.0
The Little Mermaid II: Return to the Sea,,,2000.0,,,221,Counter(),0.0
The Green Slime,,,1968.0,,,73,Counter(),0.0
Broken Trail,,,2006.0,,,80,Counter({'cowboy': 1}),0.0125
From Hell,74558115.0,,2001.0,,,216,Counter(),0.0
Russian Ark,6685748.0,,2002.0,,,184,Counter({'costume': 1}),0.005434782608695652
A Simple Plan,16311763.0,"Crime,Drama,Thriller",1998.0,7.5,77633.0,365,Counter({'sheriff': 5}),0.0136986301369863
Blue Gender,,,2002.0,,,644,Counter(),0.0
The Last Trimester,,,2006.0,,,298,Counter(),0.0
Beyond Re-Animator,,"Comedy,Horror,Sci-Fi",2003.0,5.7,13300.0,212,Counter(),0.0
Inchon,5200986.0,"Drama,History,War",1981.0,2.9,868.0,165,Counter({'president': 1}),0.006060606060606061
Mwansa the Great,,"Adventure,Drama,Fantasy",2011.0,7.4,97.0,20,Counter(),0.0
Felix the Cat: The Movie,1964253.0,,1988.0,,,382,Counter(),0.0
Vanilla Sky,203388341.0,"Fantasy,Mystery,Romance",2001.0,6.9,290025.0,302,Counter(),0.0
Mr. & Mrs. Bridge,,,1990.0,,,88,Counter(),0.0
Speed Racer,93945766.0,,2008.0,,,384,Counter(),0.0
In the Company of Men,2856622.0,,1997.0,,,223,Counter(),0.0
The Scorpion King,,"Action,Adventure,Fantasy",2002.0,5.5,147321.0,505,Counter(),0.0
The Killer Inside Me,3976222.0,"Crime,Drama,Mystery",2010.0,6.1,36084.0,460,"Counter({'sheriff': 4, 'deputy': 2, 'ford': 1})",0.015217391304347827
Man-Thing,,,2005.0,,,128,Counter(),0.0
MirrorMask,866999.0,,2005.0,,,291,Counter(),0.0
In the Shadow of the Moon,,,2007.0,,,113,Counter(),0.0
The Grudge 3,38610009.0,,2009.0,,,698,Counter({'diner': 1}),0.0014326647564469914
Boys on the Side,,,1995.0,,,235,"Counter({'road trip': 1, 'cross country': 1})",0.00851063829787234
Checking Out,31000.0,,1989.0,,,25,Counter({'barbecue': 1}),0.04
Casino Royale,596400000.0,,2006.0,,,334,Counter(),0.0
Neverwas,,,2005.0,,,134,Counter(),0.0
Love in Space,,,2011.0,,,112,Counter(),0.0
The Offence,,,1972.0,,,115,Counter(),0.0
Bend It Like Beckham,76583333.0,"Comedy,Drama,Romance",2002.0,6.7,117949.0,350,Counter(),0.0
The Haunting in Connecticut,77527732.0,,2009.0,,,576,Counter({'firefighter': 1}),0.001736111111111111
Corpse Bride,117195061.0,"Animation,Comedy,Drama",2005.0,7.4,307777.0,389,Counter(),0.0
The Tsunami and the Cherry Blossom,,"Documentary,Short",2011.0,7.7,358.0,19,Counter(),0.0
Charlie Wilson's War,119000410.0,,2007.0,,,255,"Counter({'pentagon': 1, 'president': 1})",0.00784313725490196
Angus,4821759.0,,1995.0,,,468,Counter({'election': 1}),0.002136752136752137
Mad Max Beyond Thunderdome,36230219.0,"Action,Adventure,Sci-Fi",1985.0,6.2,155692.0,444,Counter(),0.0
Gardens of the Night,,Drama,2008.0,6.8,4771.0,207,Counter(),0.0
Iron Eagle,24159872.0,"Action,Thriller,War",1986.0,5.5,16325.0,315,"Counter({'pickup': 1, 'president': 1})",0.006349206349206349
5ive Days to Midnight,,,2004.0,,,494,"Counter({'jeep': 4, 'freedom': 1})",0.010121457489878543
"Lust, Caution",67091915.0,,2007.0,,,469,"Counter({'patriotic': 2, 'deputy': 2})",0.008528784648187633
Tanya's Island,,Drama,1980.0,4.0,459.0,54,Counter(),0.0
The Hudsucker Proxy,2816518.0,"Comedy,Drama,Fantasy",1994.0,7.2,86726.0,293,Counter({'president': 3}),0.010238907849829351
Night and the City,,"Crime,Film-Noir,Sport",1950.0,7.9,15653.0,33,Counter(),0.0
Red: Werewolf Hunter,,,2010.0,,,288,"Counter({'sheriff': 1, 'hunting': 1})",0.006944444444444444
Repo Men,18409891.0,,2010.0,,,668,"Counter({'pledge': 1, 'freedom': 1})",0.0029940119760479044
Salaat,,Drama,2010.0,8.0,8.0,42,Counter(),0.0
Being Julia,14339171.0,,2004.0,,,283,Counter(),0.0
Bless the Child,40443010.0,"Crime,Drama,Horror",2000.0,5.1,15544.0,87,Counter(),0.0
Bean,251212670.0,,1997.0,,,575,"Counter({'thanksgiving': 1, 'turkey': 1})",0.0034782608695652175
Johnny English,160583018.0,"Action,Adventure,Comedy",2003.0,6.3,177266.0,464,Counter(),0.0
Ginger Snaps,,"Drama,Fantasy,Horror",2000.0,6.8,54185.0,446,Counter({'halloween': 1}),0.002242152466367713
Alien from L.A.,,"Adventure,Comedy,Sci-Fi",1988.0,3.2,4456.0,193,"Counter({'diner': 1, 'dodge': 1})",0.010362694300518135
Ulysses,2200000.0,,1954.0,,,10,Counter(),0.0
The Frighteners,29359216.0,,1996.0,,,311,Counter({'sheriff': 2}),0.006430868167202572
The Lost Prince,,,2003.0,,,50,Counter(),0.0
Troll 2,,,1990.0,,,474,Counter({'vacation': 2}),0.004219409282700422
Route 666,,,2001.0,,,833,"Counter({'sheriff': 6, 'jeep': 2, 'roadside': 1, 'hunting': 1, 'highway': 1, 'route 66': 1, 'deputy': 1, 'drive-in': 1})",0.01680672268907563
The Fast and the Furious: Tokyo Drift,158468292.0,,2006.0,,,690,"Counter({'mustang': 2, 'high school': 1, 'chevrolet': 1, 'baseball': 1, 'ford': 1})",0.008695652173913044
Race to Space,,,2002.0,,,114,Counter(),0.0
The Scorpion King 2: Rise of a Warrior,,,2008.0,,,436,Counter(),0.0
Crime in Connecticut: The Story of Alex Kelly,,,1999.0,,,18,Counter(),0.0
Dr. Dolittle: Tail To The Chief,,,2008.0,,,54,Counter({'president': 1}),0.018518518518518517
K-PAX,65001485.0,,2001.0,,,146,Counter(),0.0
Simply Irresistible,4389989.0,,1999.0,,,172,Counter(),0.0
Terminal Velocity,16478900.0,"Action,Mystery,Romance",1994.0,5.5,14865.0,48,Counter(),0.0
Fargo,60611975.0,,1996.0,,,299,"Counter({'highway': 1, 'motel': 1})",0.006688963210702341
The Matthew Shepard Story,,,2002.0,,,76,Counter(),0.0
The Borrowers,22619589.0,,1997.0,,,384,Counter(),0.0
Babel,135330182.0,Drama,2006.0,7.5,320365.0,713,"Counter({'highway': 2, 'vacation': 2, 'hunting': 2, 'western': 1})",0.009817671809256662
Sense and Sensibility,134993774.0,,1995.0,,,234,Counter(),0.0
Hachiko: A Dog's Story,46671235.0,,2009.0,,,424,Counter(),0.0
Invincible,,"Drama,War",2001.0,6.4,4602.0,204,Counter(),0.0
Fido,,,2006.0,,,281,Counter(),0.0
Heavy Metal 2000,,"Action,Adventure,Animation",2000.0,5.4,9568.0,359,Counter(),0.0
I  Huckabees,20072172.0,,2004.0,,,306,Counter({'firefighter': 1}),0.0032679738562091504
Air Bud: Golden Receiver,10224116.0,"Comedy,Family,Sport",1998.0,4.5,6319.0,141,Counter({'basketball': 1}),0.0070921985815602835
Scooby-Doo,275650703.0,,2002.0,,,276,Counter(),0.0
Amreeka,2147715.0,Drama,2009.0,7.0,3709.0,350,Counter({'high school': 2}),0.005714285714285714
The Fixer,,Drama,1968.0,6.8,1497.0,41,Counter(),0.0
A Fairly Odd Christmas,,,2012.0,,,15,Counter(),0.0
One Missed Call,45847751.0,"Horror,Mystery",2008.0,4.0,34428.0,212,Counter(),0.0
Joseph,,,1995.0,,,867,Counter(),0.0
Harold & Kumar Go to White Castle,23936908.0,"Adventure,Comedy",2004.0,7.0,208946.0,397,"Counter({'campus': 1, 'hot dog': 1})",0.005037783375314861
Splitting Heirs,3246063.0,,1993.0,,,165,Counter(),0.0
Achamundu Achamundu,,,2009.0,,,93,Counter(),0.0
Dear Mr. Wonderful,,,1982.0,,,36,Counter(),0.0
A Good Man in Africa,2308390.0,Comedy,1994.0,5.0,2744.0,51,Counter({'president': 1}),0.0196078431372549
Chinese Box,,"Drama,Romance",1997.0,6.2,3637.0,199,Counter(),0.0
Avanim,,,2004.0,,,29,Counter(),0.0
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,78656813.0,"Action,Adventure,Comedy",1991.0,6.0,61939.0,366,Counter(),0.0
Dead End,,,2003.0,,,527,"Counter({'roadside': 1, 'cheerleading': 1})",0.003795066413662239
Wild Child,21972336.0,Comedy,2008.0,6.1,65321.0,389,Counter(),0.0
In Bruges,33394440.0,,2008.0,,,425,Counter({'costume': 1}),0.002352941176470588
Xtro,,,1983.0,,,233,Counter(),0.0
5 Branded Women,,,1960.0,,,33,Counter(),0.0
Treasure Island,,"Adventure,Family",1950.0,6.9,9769.0,997,"Counter({'flag': 2, 'freedom': 2, 'hunting': 1})",0.0050150451354062184
Nowhere to Hide,,"Action,Thriller",1987.0,5.8,514.0,523,"Counter({'motel': 2, 'flag': 1})",0.0057361376673040155
Whatever Works,35085646.0,,2009.0,,,322,Counter(),0.0
Indian Summer,14904910.0,"Comedy,Drama,Romance",1993.0,6.6,6146.0,35,Counter(),0.0
The Invisible,26810113.0,"Crime,Drama,Fantasy",2007.0,6.1,36775.0,386,Counter({'high school': 1}),0.0025906735751295338
The Life and Death of Peter Sellers,,,2004.0,,,77,Counter(),0.0
Diamonds,,"Comedy,Mystery",1999.0,5.4,1819.0,181,Counter({'road trip': 1}),0.0055248618784530384
Jungle Boy,,"Adventure,Fantasy",1998.0,3.6,205.0,519,Counter({'hunting': 1}),0.0019267822736030828
Esther,,,1999.0,,,386,Counter(),0.0
