title,box_office,genres_IMDB,release_year,averageRating,numVotes,Total_tokens,Tokens_US_frequencies,Percentage_american_culture_lexicon
Night at the Museum,574480841.0,"Adventure,Comedy,Family",2006.0,6.5,385685.0,367,Counter({'cowboy': 1}),0.0027247956403269754
Deeply,,"Drama,Fantasy,Mystery",2000.0,5.9,1819.0,167,Counter(),0.0
The Pacifier,198636868.0,"Action,Comedy,Drama",2005.0,5.6,102524.0,555,Counter({'high school': 1}),0.0018018018018018018
Seizure,,,1974.0,,,23,Counter(),0.0
World Traveler,,,2002.0,,,20,Counter(),0.0
Ten Seconds to Hell,,"Action,Drama,Romance",1959.0,6.5,1248.0,472,Counter(),0.0
Alexander the Great,2500000.0,,1956.0,,,328,Counter(),0.0
The Postman Always Rings Twice,12200000.0,,1981.0,,,106,Counter({'diner': 4}),0.03773584905660377
Klangbad: Avant-garde in the Meadows,,,2009.0,,,102,Counter(),0.0
The Grudge,187281115.0,,2004.0,,,362,Counter(),0.0
Caligula,23438120.0,,1979.0,,,433,"Counter({'senate': 2, 'senator': 1})",0.006928406466512702
I'm Not There,11523779.0,"Biography,Drama,Music",2007.0,6.8,61782.0,706,"Counter({'freedom': 3, 'blues': 1, 'high school': 1, 'halloween': 1})",0.0084985835694051
Dream House,38502340.0,"Drama,Mystery,Thriller",2011.0,6.0,69895.0,299,Counter(),0.0
Branded,,"Drama,Fantasy,Sci-Fi",2012.0,4.6,9384.0,592,"Counter({'fast food': 4, 'western': 1})",0.008445945945945946
Deterrence,145071.0,"Drama,Thriller",1999.0,6.4,2858.0,265,"Counter({'president': 8, 'diner': 3, 'election': 1})",0.045283018867924525
Dog Soldiers,5491093.0,,2002.0,,,313,Counter({'roadside': 1}),0.003194888178913738
Trail of the Pink Panther,9056073.0,,1982.0,,,235,Counter(),0.0
A World Apart,,,1988.0,,,83,Counter(),0.0
Lily in Love,,Comedy,1984.0,5.7,304.0,34,Counter(),0.0
The Sky is Falling,,,2000.0,,,151,Counter({'high school': 1}),0.006622516556291391
H.E. Double Hockey Sticks,,,1999.0,,,23,Counter(),0.0
Anne of Green Gables,,,1985.0,,,287,Counter(),0.0
Ravenous,2062405.0,,1999.0,,,361,Counter({'manifest destiny': 1}),0.002770083102493075
Spectacular!,,,2009.0,,,726,Counter({'cowboy': 1}),0.0013774104683195593
Insidious,97009150.0,,2011.0,,,366,Counter(),0.0
Attack on the Iron Coast,,"Action,Drama,War",1968.0,5.5,783.0,253,Counter(),0.0
The Boys from Brazil,19000000.0,,1978.0,,,388,Counter(),0.0
Carnival Story,2000000.0,Drama,1954.0,5.7,722.0,100,Counter(),0.0
Big Fat Liar,52970014.0,"Adventure,Comedy,Family",2002.0,5.5,40711.0,636,"Counter({'hollywood': 3, 'president': 2})",0.007861635220125786
Fight Club,100900000.0,,1999.0,,,279,Counter(),0.0
The Medallion,34268701.0,"Action,Comedy,Fantasy",2003.0,5.2,44515.0,277,Counter(),0.0
The Forbidden Kingdom,127906624.0,,2008.0,,,437,Counter(),0.0
G.I. Joe: Retaliation,,,2013.0,,,66,Counter(),0.0
Arthur and the Vengeance of Maltazard,51133824.0,,2009.0,,,190,Counter(),0.0
Eyes Beyond Seeing,,,1995.0,,,25,Counter(),0.0
The Great Raid,,"Action,Drama,War",2005.0,6.6,24200.0,104,Counter(),0.0
Taxi,68895435.0,,2004.0,,,388,"Counter({'nascar': 3, 'flag': 1, 'highway': 1})",0.01288659793814433
Return to Never Land,109862682.0,"Adventure,Animation,Family",2002.0,5.8,22557.0,308,Counter(),0.0
The Mackintosh Man,,,1973.0,,,406,"Counter({'deputy': 1, 'patriotic': 1})",0.0049261083743842365
Cleopatra Jones and the Casino of Gold,,,1975.0,,,45,Counter(),0.0
The White Countess,4092682.0,"Drama,History,Romance",2005.0,6.5,7060.0,117,Counter(),0.0
Human Nature,695876.0,"Comedy,Drama",2001.0,6.4,19142.0,256,Counter({'congress': 1}),0.00390625
Alice in Wonderland,,,1999.0,,,443,Counter(),0.0
Smiley Face,179381.0,,2007.0,,,48,Counter(),0.0
Riding the Bullet,,"Horror,Thriller",2004.0,5.2,11003.0,87,Counter(),0.0
The Adventures of Baron Munchausen,8083123.0,,1988.0,,,337,Counter({'parade': 1}),0.002967359050445104
Prey,,,2007.0,,,674,Counter({'jeep': 1}),0.001483679525222552
Factotum,,,2005.0,,,163,Counter(),0.0
Boogeyman,67192859.0,,2005.0,,,598,"Counter({'thanksgiving': 1, 'motel': 1, 'baseball': 1})",0.005016722408026756
Flicka,,,2006.0,,,398,"Counter({'rodeo': 3, 'mustang': 2})",0.01256281407035176
Love Crimes,2287928.0,,1992.0,,,60,Counter(),0.0
Resident Evil: Retribution,217719678.0,"Action,Horror,Sci-Fi",2012.0,5.3,152458.0,519,"Counter({'white house': 2, 'suburbia': 1})",0.005780346820809248
"Crouching Tiger, Hidden Dragon",213525736.0,,2000.0,,,422,Counter({'western': 1}),0.002369668246445498
Darkness in Tallinn,,,1993.0,,,63,Counter(),0.0
Home of the Brave,499620.0,"Action,Drama,War",2006.0,5.6,11347.0,411,"Counter({'diner': 2, 'basketball': 1, 'thanksgiving': 1})",0.009732360097323601
The Adventures of Rocky and Bullwinkle,35143820.0,,2000.0,,,368,"Counter({'president': 3, 'hollywood': 1, 'white house': 1})",0.01358695652173913
Love Comes Lately,77458.0,"Comedy,Drama",2007.0,5.5,354.0,113,Counter(),0.0
Blessed,,"Drama,Horror,Thriller",2004.0,4.2,2396.0,251,"Counter({'motel': 1, 'costume': 1})",0.00796812749003984
At the Earth's Core,,"Adventure,Fantasy,Sci-Fi",1976.0,5.0,5608.0,55,Counter(),0.0
V for Vendetta,132511035.0,,2006.0,,,544,"Counter({'civil war': 1, 'freedom': 1, 'election': 1})",0.0055147058823529415
Au Revoir Taipei,,,2010.0,,,33,Counter(),0.0
Undiscovered,1069318.0,,2005.0,,,72,Counter(),0.0
Tekken,967369.0,,2009.0,,,568,Counter(),0.0
Grace,,,2009.0,,,487,Counter(),0.0
Deep Blue Sea,165048228.0,"Action,Adventure,Sci-Fi",1999.0,5.9,145610.0,705,"Counter({'president': 1, 'freedom': 1})",0.0028368794326241137
Star Trek,385494555.0,,2009.0,,,455,Counter(),0.0
Terminator 3: Rise of the Machines,433371112.0,,2003.0,,,327,Counter(),0.0
'R Xmas,,,2001.0,,,12,Counter(),0.0
Flirt,,"Drama,Romance",1995.0,6.3,2284.0,26,Counter(),0.0
Real Steel,295120796.0,"Action,Drama,Sci-Fi",2011.0,7.1,364344.0,397,Counter(),0.0
The Divide,130839.0,"Drama,Horror,Sci-Fi",2011.0,5.8,39088.0,442,Counter(),0.0
Deacons for Defense,,,2003.0,,,99,Counter(),0.0
All the King's Men,9450897.0,"Drama,Thriller",2006.0,6.1,25843.0,192,Counter({'election': 1}),0.005208333333333333
Pride,7094650.0,,2007.0,,,145,Counter({'basketball': 1}),0.006896551724137931
!Women Art Revolution,,,2010.0,,,96,Counter(),0.0
Sunburn,,,1979.0,,,14,Counter(),0.0
Once Upon a Forest,6582052.0,,1993.0,,,282,Counter(),0.0
Gideon's Day,,,1958.0,,,257,Counter(),0.0
Circle of Iron,,,1978.0,,,713,Counter(),0.0
Blood Orgy of the Leather Girls,,,1988.0,,,84,Counter({'hunting': 1}),0.011904761904761904
Buena Vista Social Club,,,1999.0,,,49,Counter(),0.0
The Groundstar Conspiracy,,,1972.0,,,136,Counter(),0.0
Spy Game,143049560.0,"Action,Crime,Thriller",2001.0,7.1,170110.0,336,"Counter({'president': 1, 'deputy': 1})",0.005952380952380952
The Burial Society,,,2002.0,,,86,Counter(),0.0
Jesus Henry Christ,,,2011.0,,,36,Counter(),0.0
Arbitrage,17749000.0,,2012.0,,,63,Counter(),0.0
FernGully: The Last Rainforest,32710894.0,"Adventure,Animation,Family",1992.0,6.5,34887.0,273,Counter(),0.0
Ali G Indahouse,25936616.0,Comedy,2002.0,6.2,97041.0,379,"Counter({'deputy': 3, 'election': 1, 'hunting': 1})",0.013192612137203167
Exception to the Rule,,"Crime,Drama,Thriller",1997.0,4.7,344.0,22,Counter(),0.0
Transporter 2,85167639.0,"Action,Crime,Thriller",2005.0,6.3,218463.0,342,Counter(),0.0
Passengers,4763917.0,,2008.0,,,111,Counter(),0.0
Flesh for Frankenstein,,,1974.0,,,224,Counter(),0.0
Jessica,,"Comedy,Drama,Romance",1962.0,5.5,451.0,76,Counter(),0.0
Terminator Salvation,371353001.0,"Action,Adventure,Sci-Fi",2009.0,6.5,381994.0,371,Counter(),0.0
Funny Games U.S.,7938872.0,,2007.0,,,307,Counter(),0.0
Ra.One,,,2011.0,,,323,Counter(),0.0
Welcome to Collinwood,336620.0,,2002.0,,,379,Counter(),0.0
Pure Country,15164458.0,"Drama,Music,Romance",1992.0,7.1,5507.0,144,"Counter({'rodeo': 2, 'country music': 1, 'vacation': 1})",0.027777777777777776
Se Tutte le Donne del Mondo,,,1966.0,,,34,Counter(),0.0
Bones,7316658.0,"Crime,Horror",2001.0,4.4,8385.0,392,Counter(),0.0
Velvet Goldmine,1053788.0,,1998.0,,,70,Counter(),0.0
Valmont,1132112.0,,1989.0,,,61,Counter(),0.0
Peter Pan,121975011.0,,2003.0,,,382,Counter(),0.0
The Hills Have Eyes Part II,,,1985.0,,,263,Counter(),0.0
Twilight's Last Gleaming,,"Drama,Thriller",1977.0,6.7,3819.0,157,"Counter({'president': 7, 'white house': 1})",0.050955414012738856
De-Lovely,18396382.0,"Biography,Drama,Music",2004.0,6.6,11977.0,106,Counter(),0.0
Nickelodeon,,Comedy,1976.0,6.2,2895.0,27,Counter(),0.0
Aquamarine,23006849.0,"Comedy,Family,Fantasy",2006.0,5.4,46063.0,242,Counter({'lifeguard': 1}),0.004132231404958678
Picture Claire,,Thriller,2001.0,5.5,1239.0,74,Counter(),0.0
Clowning around,,,1992.0,,,16,Counter(),0.0
Assassins,30303072.0,"Action,Crime,Thriller",1995.0,6.3,89260.0,130,Counter(),0.0
Out of the Shadows,,,2010.0,,,37,Counter(),0.0
Pocahontas,,,1994.0,,,150,"Counter({'settlers': 1, 'hunting': 1})",0.013333333333333334
Defence of the Realm,,,1986.0,,,91,Counter(),0.0
Wake in Fright,,,1971.0,,,253,Counter(),0.0
Last Exit to Brooklyn,1730005.0,Drama,1989.0,6.8,7168.0,17,Counter(),0.0
Diego and His Brothers,,,,,,56,Counter(),0.0
Killing Zoe,418961.0,,1994.0,,,214,Counter({'jazz': 1}),0.004672897196261682
The Minion,,,1998.0,,,308,Counter(),0.0
Captain Horatio Hornblower,2750000.0,,1951.0,,,366,"Counter({'flag': 1, 'freedom': 1})",0.00546448087431694
The Argentine,40779241.0,,2008.0,,,276,Counter(),0.0
Kekexili: Mountain Patrol,,,2004.0,,,199,Counter(),0.0
The Plague of the Zombies,,Horror,1966.0,6.5,5835.0,197,Counter(),0.0
The State of Things,,,1983.0,,,61,Counter(),0.0
Threshold,,,2003.0,,,45,Counter(),0.0
Alfie,35150546.0,,2004.0,,,520,Counter(),0.0
The Unsaid,,,2001.0,,,227,Counter(),0.0
The Winter Guest,,,1997.0,,,33,Counter(),0.0
Mute Witness,,,1994.0,,,148,Counter(),0.0
Luther,,,1973.0,,,597,Counter(),0.0
Nicholas Nickleby,3651462.0,"Adventure,Drama,Romance",2002.0,7.1,13906.0,222,Counter(),0.0
The Way,4430765.0,"Comedy,Drama",2010.0,7.3,36002.0,130,Counter(),0.0
Saw VII,136100000.0,,2010.0,,,313,Counter(),0.0
The Count of Monte Cristo,75395048.0,,2002.0,,,510,Counter(),0.0
Stargate: The Ark of Truth,,,2008.0,,,364,Counter(),0.0
Fever Pitch,50451307.0,,2005.0,,,338,Counter({'baseball': 1}),0.0029585798816568047
Encounter Point,,,2006.0,,,247,"Counter({'settlers': 3, 'high school': 1, 'deputy': 1})",0.020242914979757085
Bugs,,,2003.0,,,29,Counter(),0.0
Yellow Submarine,,,1968.0,,,471,Counter(),0.0
An American Werewolf in Paris,26570463.0,,1997.0,,,291,"Counter({'statue of liberty': 1, 'liberty': 1})",0.006872852233676976
Biggles: Adventures in Time,112132.0,,1986.0,,,67,Counter(),0.0
Midnight in Paris,151119219.0,,2011.0,,,395,"Counter({'nostalgia': 2, 'hollywood': 1})",0.007594936708860759
Ice Princess,,"Comedy,Drama,Family",2005.0,6.0,29348.0,226,Counter({'harvard': 2}),0.008849557522123894
A Countess from Hong Kong,,,1967.0,,,115,Counter(),0.0
Levity,,"Crime,Drama",2003.0,6.3,6791.0,92,Counter(),0.0
Submerged,,,2005.0,,,166,Counter(),0.0
How to Start a Revolution,,"Biography,Documentary,History",2011.0,7.1,283.0,53,Counter({'democracy': 2}),0.03773584905660377
Dragonheart: A New Beginning,,,2000.0,,,358,Counter(),0.0
