title,box_office,genres_IMDB,release_year,averageRating,numVotes,Total_tokens,Tokens_US_frequencies,Percentage_american_culture_lexicon
Taxi Blues,,,1990.0,,,16,Counter(),0.0
Narasimham,,"Action,Drama",2000.0,7.6,2012.0,270,Counter({'supreme court': 1}),0.003703703703703704
Up and Down,2705163.0,,2004.0,,,50,Counter(),0.0
Ghost In The Noonday Sun,,,1973.0,,,32,Counter(),0.0
Ashes to Ashes,,Thriller,1999.0,7.1,23.0,217,Counter({'independence': 1}),0.004608294930875576
The Rats of Tobruk,,"Action,Drama,War",1944.0,5.4,316.0,82,Counter(),0.0
Nee Sneham,,,2002.0,,,212,Counter(),0.0
Bhagwan Dada,,,1986.0,,,808,Counter({'pledge': 1}),0.0012376237623762376
Mr. & Mrs. '55,,"Comedy,Musical,Romance",1955.0,7.1,688.0,101,Counter({'freedom': 1}),0.009900990099009901
Amici miei,,"Comedy,Drama",1975.0,7.9,8171.0,163,Counter(),0.0
Red Cliff,248400000.0,,2008.0,,,723,"Counter({'western': 2, 'pledge': 1, 'hunting': 1})",0.005532503457814661
"The Good, the Bad, the Weird",44261209.0,,2008.0,,,184,Counter(),0.0
To Fili Tis Zois,,,,,,51,Counter(),0.0
No Entry,,,2005.0,,,79,Counter(),0.0
Tahaan,,,2008.0,,,183,Counter(),0.0
Men In The City,,,2009.0,,,79,Counter(),0.0
The Storm Riders,,,1998.0,,,183,Counter(),0.0
La Cite de la peur,,,1994.0,,,70,Counter(),0.0
The Saddest Music in the World,,"Comedy,Musical",2003.0,7.0,6394.0,354,Counter({'broadway': 1}),0.002824858757062147
Twist,47370.0,Drama,2003.0,6.2,1416.0,96,Counter({'dodge': 7}),0.07291666666666667
Shaadi No. 1,,,2005.0,,,51,Counter(),0.0
Kelviyum Naane Pathilum Naane,,,1982.0,,,98,Counter(),0.0
Sagar alias Jackie,,,,,,199,Counter(),0.0
Givat Halfon Eina Ona,,,1976.0,,,248,Counter({'jeep': 1}),0.004032258064516129
Geometria,,,1987.0,,,177,"Counter({'pentagon': 6, 'high school': 1})",0.03954802259887006
In the Land of the Deaf,,,1992.0,,,93,Counter({'harvard': 1}),0.010752688172043012
Gates of the Night,,,1946.0,,,58,Counter(),0.0
First on the Moon,,,2005.0,,,183,Counter(),0.0
Treed Murray,,,2001.0,,,69,Counter(),0.0
Sundays and Cybelle,,,1962.0,,,135,Counter(),0.0
The Bloody Fists,,,2004.0,,,53,Counter(),0.0
Rhythm,,,2000.0,,,300,Counter(),0.0
The Passion of Joan of Arc,,,1928.0,,,70,Counter(),0.0
Champion,,,2000.0,,,170,Counter({'freedom': 1}),0.0058823529411764705
Frozen with Fear,,"Crime,Mystery,Thriller",2001.0,4.5,330.0,26,Counter(),0.0
Journey of a Woman,,,2007.0,,,171,Counter(),0.0
Day Watch,38862712.0,,2006.0,,,419,Counter(),0.0
Classmates,,,2006.0,,,124,Counter({'campus': 1}),0.008064516129032258
Spring Bears Love,,,2003.0,,,117,Counter(),0.0
Ninja Resurrection,,,1998.0,,,1474,Counter(),0.0
A Game for Vultures,,,1979.0,,,160,Counter(),0.0
Suryavamsam,,,1997.0,,,92,Counter(),0.0
The Understudy,,,2008.0,,,74,"Counter({'firefighter': 1, 'freedom': 1})",0.02702702702702703
L: Change the World,35227275.0,"Crime,Drama,Mystery",2008.0,6.0,8911.0,158,Counter(),0.0
Sa Pusod ng Dagat,,,1998.0,,,48,Counter(),0.0
My Brother's Keeper,,,1948.0,,,137,Counter({'hunting': 1}),0.0072992700729927005
Chinnavar,,,1992.0,,,90,Counter(),0.0
The Policeman,,,1970.0,,,177,Counter(),0.0
Bandhe Haath,,,1973.0,,,63,Counter(),0.0
Nothing to Declare,,,2011.0,,,52,Counter(),0.0
The Black Corsair,,,1976.0,,,12,Counter(),0.0
Aparan,,"Mystery,Thriller",1988.0,7.9,499.0,158,Counter(),0.0
The Assassin,,,1952.0,,,24,Counter(),0.0
Ithu Nammude Katha,,Drama,2011.0,4.4,78.0,113,Counter(),0.0
I Am King of Joseon,,,,,,129,Counter(),0.0
La gran familia,,,,,,15,Counter(),0.0
Libido,,,1973.0,,,52,Counter(),0.0
Una mujer sin amor,,,1952.0,,,251,Counter(),0.0
Maha Chor,,"Action,Comedy,Drama",1976.0,5.8,61.0,295,Counter(),0.0
The Boy Who Cried Werewolf,,,,,,492,Counter(),0.0
Mother India,,,1957.0,,,194,Counter(),0.0
Il Postino,21848932.0,,1994.0,,,198,Counter(),0.0
Betty Blue,,,1986.0,,,465,Counter(),0.0
Crimes at the Dark House,,Drama,1940.0,6.2,634.0,39,Counter(),0.0
Mighty Baby,,,2002.0,,,59,Counter(),0.0
Phir Kabhi,,,2009.0,,,536,Counter({'flag': 1}),0.0018656716417910447
Indochine,,,1992.0,,,531,"Counter({'freedom': 1, 'independence': 1})",0.003766478342749529
Neberte nam princeznu,,,,,,19,Counter(),0.0
Pieta,,,2012.0,,,22,Counter(),0.0
Plug & Pray,,,2010.0,,,80,Counter({'pioneers': 1}),0.0125
Le gendarme se marie,,,1968.0,,,13,Counter(),0.0
Fantastic Planet,,,1973.0,,,647,Counter({'costume': 1}),0.0015455950540958269
Beck - Pensionat Parlan,,,1998.0,,,36,Counter(),0.0
Blind,15713724.0,,2011.0,,,593,Counter(),0.0
The Truth about Nanjing,,,,,,29,Counter(),0.0
Agent Vinod,,,2012.0,,,637,Counter(),0.0
Yeh Jo Mohabbat Hai,,,2012.0,,,47,Counter(),0.0
3 saisons,,Drama,2009.0,7.1,68.0,100,Counter({'freedom': 1}),0.01
Demobbed,,,2000.0,,,10,Counter(),0.0
Luv Shuv Tey Chicken Khurana,,,2012.0,,,97,Counter(),0.0
Friendship,,,2008.0,,,312,"Counter({'jazz': 4, 'high school': 4})",0.02564102564102564
The Victim,,,2006.0,,,102,Counter(),0.0
Judex,,,,,,26,Counter(),0.0
Thanks maa,,,2008.0,,,87,Counter({'soda': 1}),0.011494252873563218
Klamek ji bo Beko,,War,1992.0,6.3,95.0,48,Counter({'turkey': 1}),0.020833333333333332
Shifty,,,2009.0,,,84,Counter(),0.0
Great Expectations,,,1946.0,,,347,Counter(),0.0
Diaboliquement votre,,"Crime,Drama,Thriller",1967.0,6.0,1957.0,19,Counter(),0.0
Aasha,,"Comedy,Romance",1957.0,6.7,38.0,52,Counter(),0.0
Poppoya,,,1999.0,,,34,Counter(),0.0
Bharathi Kannamma,,,1997.0,,,71,Counter(),0.0
Parc,,"Crime,Drama,Thriller",2008.0,4.5,160.0,45,Counter(),0.0
Rebellion,,,2009.0,,,184,Counter(),0.0
Mughal-e-Azam,,,1960.0,,,185,Counter(),0.0
"Jacob, the Liar",,,1975.0,,,64,Counter(),0.0
ANG PAMANA,,,,,,211,Counter(),0.0
Shinsengumi,,"Action,Adventure,Drama",1969.0,6.9,477.0,50,Counter(),0.0
Suddenly Naked,,"Comedy,Drama,Romance",2001.0,5.8,437.0,49,Counter(),0.0
The Dawning,,"Drama,Romance,Thriller",1988.0,6.0,427.0,138,Counter({'republican': 1}),0.007246376811594203
Le Beau Serge,,,1958.0,,,30,Counter(),0.0
Storm Rider,,,1972.0,,,73,Counter({'sheriff': 1}),0.0136986301369863
Virumbugiren,,,2002.0,,,44,Counter(),0.0
The Man Who Quit Smoking,,,1972.0,,,51,Counter(),0.0
Anantha Poongathe,,,1999.0,,,110,Counter(),0.0
Mela,,,2000.0,,,203,Counter(),0.0
Outpost,,"Action,Horror,Sci-Fi",2008.0,5.8,18064.0,202,Counter(),0.0
El Fin,,,2011.0,,,47,Counter(),0.0
Takkari,,,2007.0,,,70,Counter(),0.0
Gurushetram - 24 Hours of Anger,,,,,,97,Counter(),0.0
Le Magnifique,,,1973.0,,,110,Counter(),0.0
Fata Morgana,,,,,,155,Counter(),0.0
Thappana,,,2012.0,,,57,Counter(),0.0
Afghan Luke,,,2011.0,,,121,Counter(),0.0
La ragazza di via Condotti,,,1973.0,,,25,Counter(),0.0
Strange Brew,8571374.0,,1983.0,,,303,Counter(),0.0
The Assault,,,1986.0,,,26,Counter(),0.0
El Amateur,,,1999.0,,,32,Counter(),0.0
Sadhanai,,,1986.0,,,104,Counter(),0.0
Ring of Spies,,"Crime,Drama,Thriller",1964.0,6.6,504.0,39,Counter(),0.0
Dar alanda kisa paslasmalar,,,2000.0,,,31,Counter(),0.0
The Last Witness,,,,,,80,Counter(),0.0
Makante achan,,,2009.0,,,67,Counter(),0.0
Retenez Moi...Ou Je Fais Un Malheur,,,1984.0,,,25,Counter(),0.0
State of Dogs,,Documentary,1998.0,7.4,166.0,94,Counter(),0.0
For the Love of Ada,,"Comedy,Romance",1972.0,5.8,162.0,10,Counter(),0.0
Big Nothing,,"Comedy,Crime,Thriller",2006.0,6.7,32068.0,740,Counter({'deputy': 8}),0.010810810810810811
Farewell My Concubine,5216888.0,,1993.0,,,723,Counter({'freedom': 2}),0.0027662517289073307
Apna Sapna Money Money,,,2006.0,,,188,Counter(),0.0
Anari,,,1959.0,,,93,Counter(),0.0
Ashlaa,,,2009.0,,,24,Counter(),0.0
Sivandha Mann,,,1969.0,,,259,Counter(),0.0
Phir Teri Kahani Yaad Aayee,,,1993.0,,,107,Counter(),0.0
Gharshana,,,2004.0,,,111,Counter({'deputy': 1}),0.009009009009009009
Malicious Pleasure,,,,,,74,Counter(),0.0
The One Who My Heart Longs For,,,2004.0,,,105,Counter(),0.0
Bloody Spear at Mount Fuji,,,,,,129,Counter(),0.0
Madurai Veeran,,,2007.0,,,103,Counter(),0.0
Peepli Live,,,2010.0,,,352,Counter({'election': 2}),0.005681818181818182
Bas Itna Sa Khwaab Hai,,,2001.0,,,114,Counter(),0.0
I Am Curious (Yellow),27686100.0,,1967.0,,,265,Counter(),0.0
Winter Cicada,,,2007.0,,,350,"Counter({'western': 2, 'civil war': 1})",0.008571428571428572
London Paris New York,,Romance,2012.0,5.6,3857.0,244,Counter({'freedom': 1}),0.004098360655737705
Daisy Town,,,1972.0,,,271,"Counter({'sheriff': 3, 'settlers': 2, 'saloon': 1})",0.02214022140221402
Parakh,,,1960.0,,,78,"Counter({'democracy': 2, 'election': 1})",0.038461538461538464
Dil Hai Ke Manta Nahin,,,1991.0,,,156,Counter(),0.0
Humdrum,,,1998.0,,,112,Counter(),0.0
Decoys 2: Alien Seduction,,,2007.0,,,45,Counter(),0.0
La Verite si je mens!,,,1997.0,,,52,Counter(),0.0
"No sos vos, soy yo",,"Comedy,Drama,Romance",2004.0,6.6,2513.0,88,Counter(),0.0
Moss,21925534.0,,2010.0,,,53,Counter(),0.0
Merupu Daadi,,,1984.0,,,429,"Counter({'cowboy': 2, 'cowgirl': 1})",0.006993006993006993
Su Excelencia,,,1966.0,,,70,Counter(),0.0
Tolerantia,,"Animation,Short",2008.0,6.2,218.0,13,Counter(),0.0
Maayavi,,,2005.0,,,43,Counter(),0.0
Bhagavad Gita,,,1993.0,,,27,Counter(),0.0
Qaidi,,,2002.0,,,85,Counter(),0.0
Break Ke Baad,,,2010.0,,,191,Counter(),0.0
