title,box_office,genres_IMDB,release_year,averageRating,numVotes,Total_tokens,Tokens_US_frequencies,Percentage_american_culture_lexicon
Tzameti,795223.0,,2005.0,,,188,Counter(),0.0
Dangerous Moonlight,,,1941.0,,,93,Counter(),0.0
The Singing Ringing Tree,,,1957.0,,,115,Counter(),0.0
Le dernier homme,,,2006.0,,,11,Counter(),0.0
The Good Witch's Garden,,,2009.0,,,41,Counter(),0.0
Bhool Bhulaiyaa,,"Comedy,Horror,Mystery",2007.0,7.5,34241.0,323,Counter(),0.0
Newtonin 3-m Vidhi,,,2008.0,,,209,Counter(),0.0
StreetDance 3D,,"Drama,Music,Romance",2010.0,5.8,11730.0,191,Counter(),0.0
Farewell to the Duman River,,,1962.0,,,15,Counter({'freedom': 1}),0.06666666666666667
"He Ain't Heavy, He's My Father",,,,,,23,Counter(),0.0
Kiss Kiss,,,2001.0,,,37,Counter(),0.0
Love and War,,"Animation,Short",2006.0,6.9,178.0,149,Counter(),0.0
The Forbidden Team,,,2003.0,,,53,Counter(),0.0
Martin,,,1997.0,,,68,Counter(),0.0
Paheli,,,2005.0,,,222,Counter(),0.0
Adultery Diary: One More Time While I'm Still Wet,,,1996.0,,,11,Counter(),0.0
Page 3,,,2005.0,,,109,Counter(),0.0
La Florida,,Comedy,1993.0,5.8,540.0,46,Counter({'motel': 2}),0.043478260869565216
Sun Alley,,,1999.0,,,116,Counter({'western': 1}),0.008620689655172414
Manmadhan,,"Crime,Romance,Thriller",2004.0,7.2,4585.0,296,Counter(),0.0
Antigua vida mia,,Drama,2001.0,5.6,173.0,26,Counter(),0.0
Naked Massacre,,,1976.0,,,13,Counter(),0.0
The Voyager,516517.0,,1991.0,,,351,Counter(),0.0
Mrigayaa,,,1976.0,,,30,Counter({'hunting': 1}),0.03333333333333333
Manthri gari Viyyankudu,,,1983.0,,,58,Counter(),0.0
Warlords of the 21st Century,3000000.0,,1982.0,,,370,Counter({'democracy': 1}),0.002702702702702703
Veer,,,2010.0,,,197,Counter(),0.0
Never Say Never Mind: The Swedish Bikini Team,,,2001.0,,,172,Counter(),0.0
Anomalias electricas,,"Animation,Short",2010.0,5.0,37.0,35,Counter(),0.0
Fiffty Fiffty,,,1981.0,,,86,Counter(),0.0
Chanakya,,,2005.0,,,173,Counter(),0.0
The Violin,,,,,,39,Counter(),0.0
The Kingdom,,,1994.0,,,157,Counter(),0.0
Who Is Running?,,,,,,40,Counter(),0.0
Nasibo,,,1993.0,,,163,Counter(),0.0
Dost,,,1989.0,,,201,Counter({'hunting': 1}),0.004975124378109453
Sunny,,,2011.0,,,215,"Counter({'high school': 2, 'president': 2})",0.018604651162790697
She's On Duty,,,2005.0,,,361,"Counter({'high school': 1, 'backyard': 1})",0.00554016620498615
Mapado,,,2005.0,,,31,Counter(),0.0
La Residence Ylang Ylang,,,2008.0,,,18,Counter(),0.0
The Price of a Song,,"Crime,Drama",1935.0,5.2,24.0,139,Counter(),0.0
A Big Bang Love: Juvenile,,,2006.0,,,25,Counter(),0.0
The Eternal Empire,,,1994.0,,,13,Counter(),0.0
Bandhana,,,1984.0,,,111,Counter(),0.0
Don't Move,,,2004.0,,,253,Counter(),0.0
Troublesome Night 3,,,1998.0,,,77,Counter(),0.0
Idhaya Thirudan,,,2005.0,,,39,Counter(),0.0
Super,,,2005.0,,,240,Counter(),0.0
Poor Cow,,"Crime,Drama,Romance",1967.0,6.8,2059.0,48,Counter(),0.0
Khalass,,,2007.0,,,24,Counter(),0.0
Cruel Winter Blues,2507321.0,,2006.0,,,68,Counter(),0.0
Dubai,,,2001.0,,,310,Counter(),0.0
Rasen,,"Drama,Fantasy,Horror",1998.0,5.2,4158.0,277,Counter(),0.0
Epitaph,4443849.0,,2007.0,,,54,Counter(),0.0
Marine A Go Go,,,2001.0,,,50,Counter({'costume': 1}),0.02
Singapore Dreaming,,,2006.0,,,398,Counter(),0.0
Atoll K,,,1950.0,,,151,Counter({'president': 1}),0.006622516556291391
Kirikou and the Wild Beasts,,,2005.0,,,44,Counter(),0.0
One-Way Ticket to Mombasa,,,2002.0,,,80,Counter({'high school': 1}),0.0125
Rendu,,,2006.0,,,479,Counter(),0.0
Naa Alludu,,Romance,2005.0,3.4,620.0,57,Counter(),0.0
Ko Bongisa Mutu,,,2002.0,,,36,Counter(),0.0
Go Go 70s,,,2008.0,,,49,Counter(),0.0
Armitage III,,,1994.0,,,720,Counter({'president': 1}),0.001388888888888889
Dasavatharam,,,2007.0,,,367,Counter({'jeep': 2}),0.005449591280653951
Starship Invasions,,,,,,85,Counter(),0.0
The Light,,,,,,18,Counter(),0.0
Departamento compartido,,,1980.0,,,41,Counter(),0.0
Bombay To Bangkok,,,2008.0,,,62,Counter(),0.0
Written By,,,2009.0,,,70,Counter(),0.0
Aimee & Jaguar,,,1999.0,,,182,Counter(),0.0
Upside Down,5938940.0,,2012.0,,,39,Counter(),0.0
Mort & Phil. Mission: Save Earth,,,2008.0,,,126,Counter(),0.0
Kallarali Hoovagi,,,2006.0,,,125,Counter(),0.0
The Last Emperor,43984230.0,,1987.0,,,236,Counter({'parade': 2}),0.00847457627118644
As Seen Through a Telescope,,,1900.0,,,64,Counter(),0.0
Landru,,"Biography,Crime,Drama",1963.0,6.4,1264.0,60,Counter(),0.0
Eldorado,,,,,,243,Counter({'blues': 1}),0.00411522633744856
Jallikattu Kaalai,,,1994.0,,,119,Counter(),0.0
Beauty and the Beast,,,1946.0,,,361,Counter(),0.0
"Que la barque se brise, que la jonque s'entrouvre",,,2001.0,,,26,Counter(),0.0
Praja,,,2001.0,,,230,Counter(),0.0
Flower & Garnet,,Drama,2002.0,6.8,568.0,45,Counter(),0.0
Tansy,,,1921.0,,,207,Counter(),0.0
Dr. Akagi,,,1998.0,,,24,Counter(),0.0
Chidambaram,,,1985.0,,,564,Counter(),0.0
Pellet,,,2000.0,,,47,Counter(),0.0
The Housemaid,14775615.0,,2010.0,,,305,Counter(),0.0
Malsaram,,,2004.0,,,95,Counter(),0.0
Secrets of a Superstud,,Comedy,1976.0,4.3,50.0,105,Counter(),0.0
Chakushin Ari 2,,,2005.0,,,406,Counter(),0.0
Dirty Pretty Things,13904766.0,,2002.0,,,237,Counter(),0.0
Hitler,,,1997.0,,,162,Counter(),0.0
La separation,92180.0,"Drama,Romance",1994.0,6.9,1163.0,113,Counter(),0.0
The Living Dead,,,1932.0,,,70,Counter({'president': 1}),0.014285714285714285
Evolusi KL Drift,,"Action,Crime,Drama",2008.0,5.2,157.0,192,Counter(),0.0
Big Animal,,,2000.0,,,20,Counter(),0.0
Second Name,,,2002.0,,,39,Counter(),0.0
Picknick mit Weissmann,,,1968.0,,,322,Counter(),0.0
Jung,,,1996.0,,,24,Counter(),0.0
The Vanishing,,,1988.0,,,329,Counter(),0.0
"Foster Daddy, Tora!",,,1980.0,,,27,Counter(),0.0
Ryokunohara Meikyuu,,,1990.0,,,42,Counter(),0.0
The Piano,40157856.0,,1993.0,,,459,Counter({'frontiersman': 1}),0.002178649237472767
Alice in Wonderland,,,2006.0,,,62,Counter({'hollywood': 1}),0.016129032258064516
MP3 - Mera Pehla Pehla Pyaar,,,2007.0,,,149,Counter({'high school': 1}),0.006711409395973154
Manolete,,,2007.0,,,46,Counter(),0.0
Moscow Does Not Believe In Tears,,,1979.0,,,343,Counter(),0.0
A Boy Called Dad,,Drama,2009.0,6.4,716.0,103,Counter(),0.0
Caresses,,,1997.0,,,43,Counter(),0.0
Metegol,,,2013.0,,,39,Counter(),0.0
Diljale,,,1996.0,,,503,Counter({'patriotic': 1}),0.0019880715705765406
Chal Chalein,,,2009.0,,,30,Counter(),0.0
Thulabharam,,,1968.0,,,53,Counter(),0.0
The Fox and the Child,,,2007.0,,,149,Counter({'hunting': 1}),0.006711409395973154
Memories,,,1995.0,,,93,Counter(),0.0
Learning to Lie,,,2003.0,,,111,Counter(),0.0
Munde U.K. De,,,2009.0,,,216,Counter(),0.0
Let Sleeping Corpses Lie,,,1974.0,,,441,Counter(),0.0
Mama Jack,,,2005.0,,,117,Counter({'freedom': 1}),0.008547008547008548
Tango Charlie,,,2005.0,,,620,"Counter({'jeep': 1, 'western': 1})",0.0032258064516129032
Knockout,,,2011.0,,,43,Counter(),0.0
Peddarayudu,,,,,,170,Counter(),0.0
Mr. Vampire III,,,1987.0,,,158,Counter(),0.0
Doraemon: Nobita's the Night Before a Wedding,,,1999.0,,,42,Counter(),0.0
Kabaddi,,,2009.0,,,107,Counter({'blues': 1}),0.009345794392523364
Carry On Regardless,,,1961.0,,,345,Counter(),0.0
Detectives on the Edge of a Nervous Breakdown,,,1993.0,,,412,Counter({'nostalgia': 1}),0.0024271844660194173
King Solomon's Mines,,,1937.0,,,228,"Counter({'hunting': 1, 'civil war': 1})",0.008771929824561403
Chhota Bheem & Ganesh,,,,,,45,Counter(),0.0
1 Day,,,2009.0,,,34,Counter(),0.0
Gangaajal,,,2003.0,,,346,Counter({'deputy': 1}),0.002890173410404624
The Swordswoman of Huangjiang,,,1930.0,,,116,Counter(),0.0
Karishma Kudrat Ka,,,1985.0,,,18,Counter(),0.0
"I'm a Cyborg, But That's OK",4642401.0,,2006.0,,,327,Counter(),0.0
Kinara,,,,,,302,Counter(),0.0
Siempre tuya,,,,,,123,Counter(),0.0
I'll see you in my dreams,,,2003.0,,,32,Counter(),0.0
Nina's Tragedies,,,2003.0,,,38,Counter(),0.0
The Piano Tuner of Earthquakes,,,2005.0,,,70,Counter(),0.0
Maid-Droid,,,2008.0,,,51,Counter(),0.0
Mumbai Meri Jaan,,,2008.0,,,180,Counter({'mall': 1}),0.005555555555555556
Kantatar,,,,,,198,Counter(),0.0
Refugee,,"Drama,Musical,Romance",2000.0,5.2,2156.0,149,Counter(),0.0
Fighter in the Wind,,,2004.0,,,484,Counter(),0.0
Uniform,,,2003.0,,,93,Counter(),0.0
The Hangman,,,2010.0,,,71,Counter(),0.0
Food of Love,,"Drama,Music,Romance",2002.0,6.0,1838.0,168,Counter(),0.0
Gulaal,,,2009.0,,,420,Counter({'election': 2}),0.004761904761904762
Cristiada,9622846.0,,2012.0,,,116,"Counter({'constitution': 1, 'civil war': 1, 'president': 1})",0.02586206896551724
Project A,,,1983.0,,,330,Counter({'flag': 2}),0.006060606060606061
Einbrecher,,"Comedy,Musical",1930.0,6.5,116.0,11,Counter(),0.0
Double Dhamaal,,"Comedy,Crime,Drama",2011.0,4.0,4794.0,143,Counter(),0.0
Cria Cuervos,,,1975.0,,,368,"Counter({'soda': 2, 'vacation': 1})",0.008152173913043478
The Bride with White Hair,,,1993.0,,,143,Counter(),0.0
Down the Road Again,,,2011.0,,,51,Counter(),0.0
Hello Ghost,19774455.0,,2010.0,,,54,Counter(),0.0
The Earrings of Madame de...,,,1953.0,,,367,Counter({'hunting': 1}),0.0027247956403269754
Ek Chalis Ki Last Local,,,2007.0,,,129,Counter(),0.0
Jahan Tum Le Chalo,,,1999.0,,,91,Counter(),0.0
Koodum Thedi,,"Drama,Romance",1985.0,6.9,39.0,50,Counter(),0.0
Howling V: The Rebirth,,"Horror,Mystery",1989.0,4.3,3068.0,69,Counter(),0.0
Tag 26,,,2002.0,,,73,Counter(),0.0
Rome Express,,"Adventure,Crime,Drama",1932.0,6.6,613.0,96,Counter(),0.0
No te enganes corazon,,,1936.0,,,27,Counter(),0.0
Mister Frost,,,1990.0,,,185,Counter(),0.0
Pudhu Pudhu Arthangal,,,1989.0,,,210,Counter(),0.0
Kamen Rider Decade: All Riders vs. Great Shocker,,,2009.0,,,486,Counter(),0.0
Dark Heaven,,,1965.0,,,75,Counter(),0.0
C Kkompany,,,2008.0,,,93,Counter(),0.0
Kitchen Party,,,1997.0,,,79,Counter(),0.0
Bees in Paradise,,"Comedy,Musical",1944.0,4.9,174.0,308,Counter(),0.0
Dog,,,2001.0,,,12,Counter(),0.0
Carry On Nurse,,,1959.0,,,320,Counter(),0.0
The Stoneman Murders,,,2009.0,,,168,Counter({'roadside': 1}),0.005952380952380952
Duplicate,,,2009.0,,,77,Counter(),0.0
Papi Gudia,,,1996.0,,,88,Counter(),0.0
Thandavam,,"Action,Drama",2002.0,3.2,354.0,264,Counter({'cola': 1}),0.003787878787878788
404,,,2011.0,,,54,Counter(),0.0
Gangster Exchange,,,,,,12,Counter(),0.0
The Horse Thief,,,1986.0,,,27,Counter(),0.0
Flower Island,,,2001.0,,,26,Counter(),0.0
Sanjuro,,,1962.0,,,342,Counter(),0.0
The Last Day of Summer,,,1958.0,,,40,Counter(),0.0
Dreaming Lips,,Drama,1937.0,5.7,37.0,11,Counter(),0.0
Riki-Oh: The Story of Ricky,2147778.0,,1991.0,,,573,Counter({'vacation': 2}),0.0034904013961605585
O Stratis parastratise,,,1969.0,,,47,Counter(),0.0
80 Minutes,,,2008.0,,,14,Counter(),0.0
The Amorous Adventures of Moll Flanders,,,,,,7,Counter(),0.0
Tepeyac,,Drama,1917.0,5.8,70.0,35,Counter(),0.0
Cameriera bella presenza offresi...,,Comedy,1951.0,6.5,102.0,40,Counter(),0.0
Slackistan,,,2010.0,,,18,Counter(),0.0
Suburban Mayhem,,,2006.0,,,54,Counter(),0.0
The Notebooks of Memory,,,,,,17,Counter(),0.0
Spring In My Hometown,,,1998.0,,,11,Counter(),0.0
Def-Con 4,,,1985.0,,,94,Counter(),0.0
The Three Musketeers,,,1986.0,,,188,Counter(),0.0
Animalada,,,2001.0,,,83,Counter({'vacation': 1}),0.012048192771084338
Kuchisake-Onna 2 The Scissors Massacre,,,,,,64,Counter({'high school': 1}),0.015625
The Divorce of Lady X,,,1938.0,,,49,Counter({'costume': 1}),0.02040816326530612
The Kick,,,2011.0,,,86,Counter(),0.0
Rishi,,Action,2001.0,4.6,77.0,311,Counter({'hollywood': 2}),0.006430868167202572
Shiri,,,1999.0,,,522,Counter(),0.0
The Killbillies,,,2002.0,,,13,Counter(),0.0
Midnight Eagle,,,2007.0,,,13,Counter(),0.0
Darling,,,2007.0,,,114,Counter(),0.0
Thagapansamy,,,2006.0,,,96,Counter(),0.0
"Maaf, Saya Telah Menghamili Istri Anda",,,2007.0,,,54,Counter(),0.0
Back-Room Boy,,"Comedy,Mystery",1942.0,6.2,321.0,35,Counter(),0.0
Troublesome Night 19,,,2003.0,,,54,Counter(),0.0
The Maids of Wilko,,,1979.0,,,80,Counter(),0.0
El Hotel electrico,,,1908.0,,,48,Counter(),0.0
The Captive Heart,,"Drama,War",1946.0,7.0,1207.0,171,Counter(),0.0
Sparrow,,,2008.0,,,38,Counter(),0.0
By Hook or by Crook,,,1980.0,,,211,Counter({'sheriff': 2}),0.009478672985781991
Turnout,,Drama,2011.0,5.3,323.0,61,Counter(),0.0
Kalabha Kadhalan,,"Romance,Thriller",2006.0,5.1,113.0,25,Counter(),0.0
The Astronomer's Dream,,,1898.0,,,81,Counter(),0.0
Allos gia to ekatommyrio,,,1964.0,,,20,Counter(),0.0
Chalo Dilli,,,2011.0,,,68,Counter(),0.0
Amaran,,,1992.0,,,85,Counter(),0.0
Breakthrough,,,1979.0,,,76,Counter(),0.0
Machakaaran,,,2007.0,,,73,Counter(),0.0
Pasivadi Pranam,,,1987.0,,,101,Counter(),0.0
The Easy Life,,,,,,115,Counter(),0.0
Rampage,,,2010.0,,,318,Counter({'sheriff': 1}),0.0031446540880503146
Phool Bane Angaray,,,1991.0,,,56,Counter({'election': 1}),0.017857142857142856
Badhaai Ho Badhaai,,,2002.0,,,73,Counter(),0.0
La Mort de la gazelle,,,2008.0,,,40,Counter(),0.0
Chennai Kadhal,,,2006.0,,,35,Counter(),0.0
Khandaan,,,,,,153,Counter(),0.0
Le Brasier,,,,,,25,Counter(),0.0
Jagadam,,,2007.0,,,134,Counter(),0.0
Ignition,,,2002.0,,,15,Counter({'president': 1}),0.06666666666666667
Manjunatha,,,2001.0,,,100,Counter(),0.0
Odd Squad,,,1981.0,,,13,Counter(),0.0
In Search of Love,,,1929.0,,,55,Counter(),0.0
Purely Belter,,"Comedy,Drama",2000.0,6.7,2021.0,306,Counter(),0.0
Yaar Gaddar,,,1994.0,,,109,Counter(),0.0
Lovely,,,2012.0,,,68,Counter(),0.0
Les Espions,,,1957.0,,,25,Counter(),0.0
Tere Mere Sapne,,,1996.0,,,215,Counter(),0.0
Wiggle Time,,,1993.0,,,389,Counter(),0.0
La Baie des Anges,,,1963.0,,,75,Counter({'vacation': 1}),0.013333333333333334
Some,,,2004.0,,,11,Counter(),0.0
Comic King,,,,,,77,Counter(),0.0
La Vallee,,,1972.0,,,59,Counter(),0.0
Smith,,"Drama,Short",1939.0,5.7,68.0,51,Counter(),0.0
Terowongan Casablanca,,,,,,28,Counter(),0.0
The She Beast,,"Comedy,Horror,Thriller",1966.0,4.7,1517.0,19,Counter(),0.0
